Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z
independent_20260509_193825,trial_001,subject_001,1778326705.3269746,1778326705.3269746,1049505.4649636,23444,ZJH0508,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent_20260509_193825,trial_001,subject_001,1778326705.3360128,1778326705.3360128,1049505.4745457,23445,ZJH0508,0,0,1,88.20362634969683,886.9871814591231,47.081254833927396,106.24685081187862,663.5772380851438,52.35058471765122,42.08491001662167,606.4311884364334,58.70249644186561,-160.81380124122427,889.120949405103,55.93205476515306,-173.9369502132948,673.9992271514357,53.61572071364347,-103.26188096780942,613.7975454940971,58.886315500546544
independent_20260509_193825,trial_001,subject_001,1778326705.3460147,1778326705.3460147,1049505.484758,23446,ZJH0508,0,0,1,88.20068826855446,886.9712355407222,47.09356315420499,106.3118584149083,663.5438558274348,52.34618368697778,42.08548960041286,606.4199803612141,58.68416968157729,-160.79381277472163,889.0961710965131,55.91233450342427,-173.92628681694632,674.0107646380077,53.63073724974438,-103.23931777612322,613.7856888179587,58.8511215003376
independent_20260509_193825,trial_001,subject_001,1778326705.3565934,1778326705.3565934,1049505.4950362,23447,ZJH0508,0,0,1,88.1992391206817,886.965654691393,47.09643199196798,106.3002312774632,663.5604830441252,52.367979827459884,42.09363481511585,606.4339686280683,58.65988919542694,-160.79631609364054,889.1337212468931,55.9449528473039,-173.92468213791682,673.9974503230558,53.60823862477854,-103.23559678744626,613.7668144615144,58.84630897406339
independent_20260509_193825,trial_001,subject_001,1778326705.366591,1778326705.366591,1049505.5045679,23448,ZJH0508,0,0,1,88.19145126417175,886.9748000775961,47.084620048166585,106.31810308710324,663.5429988123568,52.35232329630065,42.08993028385594,606.4117619262826,58.63587177734413,-160.79342212594696,889.0605354312584,55.90308770930023,-173.95265127771526,673.9778979611045,53.581875655146455,-103.24489646778324,613.7812084411242,58.83429290740639
independent_20260509_193825,trial_001,subject_001,1778326705.376592,1778326705.376592,1049505.5148557,23449,ZJH0508,0,0,1,88.19039484951887,886.9545836961726,47.08995559086483,106.31039450524209,663.5452411980076,52.35509989227427,42.14549713422568,606.391862739428,58.68202733167244,-160.79335016836114,889.0746581252981,55.92894614913301,-173.91366072778723,673.9471634662417,53.55409879952165,-103.24182544059619,613.7612252023005,58.78942936375534
independent_20260509_193825,trial_001,subject_001,1778326705.3866177,1778326705.3866177,1049505.5246109,23450,ZJH0508,0,0,1,88.19035456824066,886.9664646910098,47.10109677158594,106.2794231858293,663.5699645959858,52.318339202662195,42.120346482950815,606.3731333730842,58.64689073461271,-160.79910997630793,889.1018797944149,55.962590335794644,-173.92045784351168,673.9511256311687,53.561314280455065,-103.23781754275092,613.7636103316801,58.807396781201966
independent_20260509_193825,trial_001,subject_001,1778326705.3960135,1778326705.3960135,1049505.5346744,23451,ZJH0508,0,0,1,88.18861040833015,886.9612462617467,47.11418019146258,106.28809514032308,663.536529681655,52.36964447406669,42.114507910352685,606.3982849929978,58.64142050431591,-160.80193629102038,889.0823511228117,55.98714407311589,-173.91840077751942,673.9549728135669,53.557825759727265,-103.22466807087254,613.7370085572387,58.813480650599
independent_20260509_193825,trial_001,subject_001,1778326705.4060142,1778326705.4060142,1049505.5445359,23452,ZJH0508,0,0,1,88.18126851823392,886.9576175635427,47.13417461761901,106.31130747103944,663.5196623741729,52.31881138177923,42.11712217841212,606.3782528521834,58.64209857309873,-160.78300895442618,889.0666274413118,55.950537966117736,-173.93646088767537,673.9611795298381,53.5650263857994,-103.22917886678671,613.7566118712734,58.810354759851315
independent_20260509_193825,trial_001,subject_001,1778326705.4160373,1778326705.4160373,1049505.5545827,23453,ZJH0508,0,0,1,88.17625030172334,886.967506813055,47.136478552153655,106.29931113041629,663.5222892113209,52.34139960657635,42.08105034882271,606.3868164274927,58.58843890710324,-160.81038648839575,889.0750781310793,55.965880235541775,-173.9640700691671,673.9662362429018,53.56616090821134,-103.23759513589845,613.7447457095564,58.794252534413715
