Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z
independent_20260508_200833,trial_001,subject_001,1778242113.8365183,1778242113.8365183,964912.0736747,189459,ZJH0508,0,0,1,149.71289032220267,799.3381548686789,48.5944639014725,142.82502485745292,575.6045543241306,53.17316102920677,72.32193504704854,526.9480412344707,59.264870038514964,-107.95439573655199,810.433188947078,55.303594042256506,-140.33932424160642,596.841447758416,52.73061705186857,-74.70975523090443,531.3227926234304,59.31298289370236
independent_20260508_200833,trial_001,subject_001,1778242113.8465192,1778242113.8465192,964912.0836919,189460,ZJH0508,0,0,1,149.72164524416598,799.3163669702012,48.60137877104381,142.80841374829612,575.6014123743231,53.19279050748945,72.35322454062052,526.9647557627464,59.27252031384945,-107.95293218580888,810.4317596626828,55.299144841099164,-140.33919530690747,596.8350179897224,52.749378889912435,-74.67913471850854,531.3256337265934,59.29488442756333
independent_20260508_200833,trial_001,subject_001,1778242113.856522,1778242113.856522,964912.0941741,189461,ZJH0508,0,0,1,149.7119702228824,799.32562498508,48.60625789991455,142.84456132485366,575.5941263140958,53.16200463831927,72.36973598759614,526.967322432024,59.26537318553777,-107.94271155110539,810.4280924832998,55.29298630550606,-140.30626779142267,596.8757201355866,52.75782526980842,-74.72577076756338,531.3245786607526,59.32844369867954
independent_20260508_200833,trial_001,subject_001,1778242113.866521,1778242113.866521,964912.103908,189462,ZJH0508,0,0,1,149.72410269881186,799.3170315876466,48.619691093237144,142.81205957645471,575.5763660637534,53.19735806553224,72.40999374554984,526.976665319981,59.233174618869064,-107.93351642471407,810.4355995056784,55.28684464415475,-140.2941797530429,596.8495570800097,52.75039258466907,-74.71683894556924,531.3271578170045,59.31447987575107
independent_20260508_200833,trial_001,subject_001,1778242113.8760257,1778242113.8760257,964912.1136956,189463,ZJH0508,0,0,1,149.72502155589484,799.312911329612,48.63275156747756,142.83611750001046,575.584775865707,53.18340218456728,72.42416718867607,526.9918584389163,59.22009724052485,-107.93582626227808,810.4326509582876,55.2684896585484,-140.28855166576287,596.852335401069,52.753289169498686,-74.73969220533056,531.320464058875,59.354453922994146
independent_20260508_200833,trial_001,subject_001,1778242113.886033,1778242113.886033,964912.1234987,189464,ZJH0508,0,0,1,149.72346564150718,799.3189061434324,48.63727397048327,142.7947040603433,575.5674485549735,53.205189306718225,72.41069695315679,526.9831185914371,59.224291943600385,-107.93065508295113,810.4458012433137,55.281637687176044,-140.29825260409245,596.8726182227963,52.77710528167019,-74.7330556776864,531.3241253513725,59.353191802201884
independent_20260508_200833,trial_001,subject_001,1778242113.8991663,1778242113.8991663,964912.1362542,189465,ZJH0508,0,0,1,149.7299873311984,799.3281887186583,48.66915492348827,142.80590921886656,575.5727511914196,53.192446454499866,72.39400881128915,526.9776710152812,59.23303821743489,-107.9440437905669,810.4436119387536,55.264519592117345,-140.27178934143362,596.8537365063597,52.77109930433836,-74.71068183564238,531.342784460951,59.358063247741725
independent_20260508_200833,trial_001,subject_001,1778242113.908175,1778242113.908175,964912.1450743,189466,ZJH0508,0,0,1,149.73279328580315,799.3034002156612,48.666812796390126,142.8322531909179,575.5855262690086,53.17967082254918,72.394521595677,526.9782140831245,59.235323529828875,-107.93184519358519,810.4550426373958,55.26733108376052,-140.2427846221969,596.8524578648202,52.73964888453185,-74.74343735312378,531.3258731389006,59.38462506835367
independent_20260508_200833,trial_001,subject_001,1778242113.9161732,1778242113.9161732,964912.1536708,189467,ZJH0508,0,0,1,149.7163275733823,799.3024196496416,48.65396750101568,142.8511920393216,575.5799950542091,53.156719511516656,72.34732921450293,526.9253332999527,59.223971179905035,-107.9441100163962,810.4360148825142,55.25987633094289,-140.2431461774276,596.8523461102029,52.75642586582914,-74.66748952491402,531.3458395452202,59.31776457531307
independent_20260508_200833,trial_001,subject_001,1778242113.926681,1778242113.926681,964912.1636613,189468,ZJH0508,0,0,1,149.72949273139656,799.28901140967,48.682040375390706,142.8520554330947,575.5741246888878,53.14851426130356,72.3267681279713,526.9053281033545,59.24907987425709,-107.94293335200197,810.4336563370099,55.26252805738096,-140.28614034846575,596.8263371835737,52.779011326617,-74.69375655534886,531.3255302149137,59.35404512867569
