frame_num,recv_timestamp,Root_x,Root_y,Root_z,L_Femur_x,L_Femur_y,L_Femur_z,L_Tibia_x,L_Tibia_y,L_Tibia_z,L_Foot_x,L_Foot_y,L_Foot_z,L_Toe_x,L_Toe_y,L_Toe_z,R_Femur_x,R_Femur_y,R_Femur_z,R_Tibia_x,R_Tibia_y,R_Tibia_z,R_Foot_x,R_Foot_y,R_Foot_z,R_Toe_x,R_Toe_y,R_Toe_z
6386,1777036176.927718,957.713401885807,414.7043542233248,886.183981958316,951.7224730009904,410.6490628789476,890.499334918719,943.0854648842773,423.27155257958333,863.0749372572581,963.6377953191567,420.62388994447844,839.8443051318468,959.3725733342856,425.1174107538755,825.4543421222397,963.7043307706236,418.759645567702,881.8686289979131,971.4878082935342,444.77351953512294,866.0978147702882,975.7023679492854,461.7045975747103,840.3170708709066,976.4564282476093,465.8621484470181,825.2306184359159
6387,1777036176.927718,958.7764534673438,418.5655292617794,885.2162700546271,952.8400090990289,414.43179479314216,889.5324901102166,943.890892179442,426.6235217094407,862.01344500137,964.4951044906798,424.149322044086,838.8096641945838,960.1940151971385,428.4128879014613,824.3605285688316,964.7128978356587,422.6992637304166,880.9000499990376,972.3961200097281,448.8210022631546,865.2588986476846,976.5875193093012,466.2499142770006,839.8082430450261,977.2570937634013,470.8112390739839,824.8349044256862
6388,1777036176.9397278,959.828030615625,422.578712362257,884.0251084385245,953.9493921236558,418.36541379982117,888.3435123876802,944.6667246155897,430.11111596677256,860.7410975099066,965.314356893738,427.84060037231677,837.5550949885212,960.9774490439572,431.8686202064966,823.0491937831312,965.7066691075943,426.7920109246929,879.7067044893688,973.3011071350397,452.99204570586744,864.1533951612129,977.4949690350319,470.9247266862399,839.0555636234093,978.07892667589,475.89398049354713,824.2090019563154
6389,1777036176.9517472,961.0321348864387,426.99326257868734,882.6659781439693,955.2123096775053,422.6949330947158,886.9802435679151,945.568048890647,433.96722561237283,859.3045069414726,966.2475986297312,431.9483643565128,836.1236723038173,961.8714406714686,435.72973735952525,821.5632690470735,966.8519600953721,431.2915920626589,878.3517127200234,974.3541990166211,457.5408419925522,862.8366867183933,978.557735404504,475.960229257351,838.0954836897388,979.0548028790256,481.3331976345131,823.3870161282842
6390,1777036176.9647467,962.2812222815204,431.729559600189,881.1721432806706,956.5223844217519,427.343385519957,885.4798284370357,946.4969133134306,438.1159362682164,857.7405995007953,967.1961416134047,436.3947092640347,834.5533185462372,962.7798507542776,439.91992452777924,819.9408541526303,968.0400601412889,436.11573368042104,876.8644581243055,975.4576608169049,462.379985660648,861.3341326067571,979.692783964415,481.27656356230983,836.9609147598695,980.10612482034,487.0485971027038,822.4018055354711
6391,1777036176.9657485,963.6122801382393,436.91586879027136,879.602197615979,957.9159750335957,432.43727613703555,883.897916876448,947.4925938729352,442.6763331336277,856.1033566254763,968.1957471867723,441.30677433633383,832.8961503256112,963.737812540418,444.56355160807345,818.2341210065268,969.3085852428828,441.39446144350717,875.30647835551,976.6460529208596,467.6367747671668,859.7011811125128,980.9313569715124,486.9894729917884,835.6974332114,981.2640679449343,493.1515348184427,821.2969755549494
6392,1777036176.9757485,964.8498933191158,442.35239164723356,877.9661508332355,959.2165882156849,437.7814824552299,882.2476868582719,948.3891757423324,447.46012115305155,854.4068205888166,969.079579527543,446.4860159339738,831.16829690707,964.582631072463,449.46643358473546,816.459474776051,970.4831984225468,446.92330083923724,873.6846148081991,977.7593396851205,473.10065930349487,857.9421113635241,982.1329943316831,492.90021354676315,834.3217923673618,982.3914621070275,499.4461103563635,820.090161658629
6393,1777036176.9912674,966.0202459269387,448.1426437837932,876.3232680814415,960.4497848941829,443.4777442656996,880.5856106688234,949.217335709352,452.5633957206058,852.7054068407499,969.8738939285321,452.033032059326,829.4224519250953,965.3401919682688,454.72707076935257,814.6697374214199,971.5907069596946,452.80754330188677,872.0609254940596,978.8212173128468,478.8739094036694,856.1145459417736,983.3178275698838,499.09694243614484,832.8792257622773,983.5059826016515,506.01695994811155,818.8245881440153
6394,1777036177.0032768,967.0928203378315,454.23425705020304,874.7187153619067,961.5846045464187,449.4755767472175,878.9582210562983,949.9552819189673,457.9386304681227,851.0448135343119,970.5534795310236,457.8955384351803,827.7042250479141,965.9862560295873,460.29447998911115,812.9109687406866,972.6010361292443,458.9929373531886,870.4792096675151,979.7971933494257,484.9024360724984,854.2639101044085,984.4517278594521,505.52495800868405,831.4140179784815,984.5715562010811,512.8087601814943,817.5436628879123
6395,1777036177.0152855,968.020436310292,460.50110231820355,873.1664697032812,962.571634319316,455.6504174331872,877.3783933698475,950.5629702877543,463.4664599701812,849.436950855515,971.075153151381,463.94412801893037,826.0255677249878,966.4791057934484,466.0422615583228,811.1955620743789,973.469238301268,465.3517872032199,868.954546036715,980.6466472619945,491.0534977299843,852.4037267472157,985.4975953971061,512.0450774834773,829.9339124550773,985.5496288910115,519.6825843358358,816.2547068912202
6396,1777036177.0162966,968.8007135202804,467.1100191885207,871.7330594247609,963.4090143234788,462.1666312839953,875.9105447640734,951.0395469762159,469.3069157096246,847.9456496559046,971.4344285016385,470.34018419113215,824.4498662791137,966.814506982321,472.1284931559446,809.5867185820648,974.192412717082,472.05340709304613,867.5555740854484,981.3529866930027,497.5000190377184,850.6080414208567,986.4299979277496,518.8254715358271,828.5055595386528,986.4134971163004,526.7995319893013,815.0196791124391
6397,1777036177.0278013,969.4616669688364,473.77463069488834,870.4213531918307,964.1275305942038,468.74161698315146,874.5655841310834,951.425183716731,475.1967329126497,846.583364692914,971.6705995132933,476.79367095261335,822.9900690180658,967.0313245395298,478.2698983915581,808.0987036163006,974.7958033434691,478.80764440662523,866.277122252578,981.9049438847958,503.97298812311004,848.893557056117,987.2069489972811,525.6136840592668,827.1532789101047,987.1208033845652,533.9073188867114,813.8618123414758
6398,1777036177.0381563,969.9697272631341,480.34515657961555,869.2028475707754,964.6830728798784,475.22864957576036,873.3054722763845,951.6804843712716,480.9946309056339,845.3106710818026,971.7467388283067,483.1480067374087,821.6087918889489,967.0938235537442,484.31355535718995,806.6941427437212,975.2563816463899,485.46166358347074,865.1002228651662,982.2967361836584,510.30932449122463,847.2382549459359,987.8255888626185,532.2285986559374,825.8362017540924,987.6697245653878,540.8229909153024,812.7378426478688
6399,1777036177.0501554,970.3385051901655,486.7082545511616,868.0768711812606,965.0932067564833,481.5136350104191,872.1341683274056,951.8275931317787,486.5981058656023,844.1306972242081,971.6906503968163,489.2809824697792,820.3119692587481,967.029383815674,490.1403469071011,805.379154055781,975.5838036238478,491.9028740919041,864.0195740351155,982.5224089042612,516.410968685138,845.6557019293615,988.2591141339522,538.5797264880367,824.567623229204,988.0346825570726,547.45132579277,811.65641726283
6400,1777036177.0611546,970.6825636780168,492.77691894055295,867.0847448778068,965.4790913068217,487.51184930859284,871.1049196272911,951.9866058082506,491.9317185989305,843.0970576404856,971.6278454662579,495.09802301991846,819.1540650603936,966.9607097107247,495.65832986257385,804.2088724104452,975.8860360492118,498.04198857251305,863.0645701283224,982.6429090672106,522.2094591949409,844.1886390710872,988.5288144569847,544.6343204189997,823.4148000059477,988.2388171578631,553.7530129968709,810.678229411814
6401,1777036177.0746775,970.9286604985901,498.342409547771,866.104276243245,965.7567825244884,493.01432711793444,870.0819770622405,952.0731972461236,496.79638124667594,842.0734372387909,971.4884546904258,500.3771040242517,818.0048503371548,966.8192409720064,500.65023917365164,803.0523012666966,976.1005384726919,503.6704919776076,862.1265754242494,982.6386049577495,527.4857694913383,842.7330459330575,988.622520000908,550.1349808322861,822.232395722166,988.2721037759072,559.4697590116359,809.6548757729007
6402,1777036177.075676,971.143384979239,503.4088156970489,865.1994911877172,965.9975248141513,498.0270928989505,869.1385355958652,952.1619122222919,501.20525576430714,841.1296468718543,971.358266452717,505.11995281417666,816.9377927893792,966.6888040897101,505.1182825649157,801.9828270016114,976.2892451443267,508.7905384951473,861.2604467795692,982.5430168517404,532.2850010367084,841.387769258422,988.5319529072008,555.1538335497784,821.1338852582421,988.1268861371979,564.666555656485,808.6920637559464
6403,1777036177.0871933,971.3235632436828,507.8231222531566,864.320035705828,966.1983014302973,502.39970298389727,868.2286291533036,952.2493434646125,505.0148064721172,840.2177286329306,971.2471239356976,509.1706787615996,815.9096284322576,966.5785760732675,508.90999370992324,800.9566492166429,976.4488250570682,513.2465415224159,860.4114422583524,982.3917091037998,536.4231422144677,840.0755121809486,988.3306513609228,559.4991130752612,820.0430583527639,987.8754134736643,569.15114261781,807.7107443996429
6404,1777036177.1001925,971.4378842855382,511.56720178937525,863.3864420094532,966.3271726625628,506.1117738238433,867.2694589271664,952.2996497975888,508.2032922798602,839.2538044574678,971.1308795166335,512.498572571498,814.8405697851672,966.4642610558419,511.99497590877405,799.8931972466484,976.5485959085136,517.0226297549071,859.5034250917399,982.2099613636947,539.8858063183089,838.736941490553,988.0827217234764,563.1217059999738,818.8705295241165,987.579842888823,572.873232866776,806.6186023325982
6405,1777036177.111194,971.5727128116898,514.6033040210522,862.4445475414481,966.4730299529916,509.127780479805,866.3137547798262,952.4017416014965,510.7457711898038,838.288700047744,971.1102718110991,515.0663062786907,813.7857502942537,966.4441212229401,514.3369912116939,798.8475435248905,976.672395670388,520.0788275622994,858.5753403030699,982.0330832571218,542.6748641392737,837.439945767972,987.7730447039224,566.0527120815937,817.7016646661385,987.2232411206421,575.8622827419157,805.4981847221826
6406,1777036177.1247056,971.6507784086336,517.09994705084,861.4618205272853,966.5588651555549,511.6126345821374,865.3245539192648,952.4772018450685,512.7946148068761,837.282934427816,971.1098459486725,517.0330655764557,812.7079312444537,966.4439588769949,516.0913668740366,797.7815256271998,976.7426916617123,522.5872595195426,857.5990871353059,981.8586038575997,544.9481673388987,836.1552072055217,987.4745960000404,568.410723215991,816.4818806782068,986.8759861106684,578.2367300767813,804.2939301271658
6407,1777036177.1257055,971.7279891843704,518.778352776341,860.3622722236593,966.6388119927025,513.292564035519,864.2307713339667,952.5775931749537,514.087470383693,836.1652588354964,971.1910002826144,518.1212294968623,811.5412758932224,966.5232773822388,516.985941339466,796.6289197082475,976.8171663760382,524.2641415171629,856.4937731133518,981.7471554829891,546.4225595929524,834.7976338639684,987.2662283216605,569.9215782147783,815.1404053845386,986.6146937777391,579.7310828557739,802.9418806909973
6408,1777036177.1347065,971.8043452710289,519.9961872131805,859.221891400101,966.7149935329599,514.5186744856511,863.101870932204,952.7027673874042,514.9615250374799,835.0041104453018,971.3496224725121,518.6745699221209,810.354997564721,966.678031699211,517.3571662954147,795.4588379726072,976.8936970090979,525.4736999407099,855.341911867998,981.700027133241,547.4731526513054,833.4570766226324,987.1510125571419,570.95293501203,813.7579078360716,986.4411758492954,580.7118962964929,801.5221532717171
6409,1777036177.1472228,971.9833012267591,520.718049922205,858.0728436324828,966.890225175256,515.2571810740693,861.9713530554081,952.9593064869574,515.3872106936967,833.8300073281192,971.6938435434053,518.6504073427159,809.1837227888544,967.0139161964363,517.163382151043,794.3061584932785,977.0763772782622,526.1789187703406,854.1743342095574,981.8090672027099,548.0642065736332,832.1593718795681,987.2156699669321,571.4828919020998,812.3754264511113,986.4412503466655,581.1645254576656,800.0822930340339
6410,1777036177.1582208,972.2038829233383,520.8985918109223,856.8849775250155,967.1103762653601,515.460492946086,860.8146287340884,953.2855456160445,515.3117265949721,832.6211069846636,972.1694960878093,517.9699820055818,808.0162138649631,967.4777296936733,516.3270854370155,793.1587880371011,977.2973895813165,526.3366906757586,852.9553263159427,981.9998323428731,548.139520717593,830.8522410836512,987.3822944460937,571.4492497200386,810.9334984471309,986.5401773967092,581.036005486245,798.5706575108082
6411,1777036177.170732,972.5533706576523,520.7040115688601,855.7745040561402,967.4555612550758,515.2934157512476,859.7364076588302,953.76434105548,514.9010421522752,831.4800937635292,972.8422618108955,516.8163878948238,806.9559207292233,968.1342700560674,515.0279981061515,792.1204443680539,977.6511800602287,526.1146073864726,851.8126004534503,982.3203355485239,547.8869927361474,829.6724792759102,987.6493045008151,571.0835963604463,809.6078252075574,986.7384906524957,580.5611800904816,797.1659319418018
6412,1777036177.182748,973.1723893254294,519.9363110831788,854.765715284009,968.0648494665907,514.5633749413706,858.7661504815838,954.5367237062794,513.9712015083571,830.434862360794,973.8495482181603,514.9754149566616,806.0406614637872,969.1181542525246,513.0568090985165,791.2289179484001,978.2799291842682,525.309247224987,850.7652800864342,982.9126871086397,547.068496508638,828.6046084546701,988.1783778781988,570.1541892012688,808.3958488118623,987.1984837910431,579.5195035596886,795.8744440261161
6413,1777036177.1950872,973.9297134090441,518.8111276224649,853.9286184712853,968.8114236179608,513.477978313457,857.9683605454642,955.4720207348812,512.7188591905738,829.5516962193169,975.0454600891103,512.6477300501856,805.3453729716263,970.2871954751057,510.61022524242605,790.5581360666449,979.0480032001274,524.1442769314729,849.8888763971064,983.6312184787397,545.9289931613167,827.7429282566487,988.8017216160241,568.9115406129793,807.3925208253613,987.7558405978313,578.1627280705312,794.791864224073
6414,1777036177.1950872,974.9897715160212,517.1663517345887,853.3215633044741,969.8599473096344,511.8780706882052,857.4054187315919,956.7296100383988,510.9977994975292,828.8950327587708,976.5694014281502,509.6665378018484,804.9433920511125,971.778082183171,507.5259288723748,790.1814160124405,980.1195957224079,522.4546327809722,849.2377078773563,984.6030449952503,544.3021852743333,827.1332767556909,989.6165612858264,567.2088857750649,806.6584532093475,988.5087854597843,576.3506734134636,793.9834607140349
6415,1777036177.2070882,976.1192263433069,515.2768858727535,853.0077820959967,970.976967314333,510.03395828580784,857.1342539983065,958.0760272085129,509.0626136894578,828.5222813888208,978.1596652498451,506.31714565460175,804.8964361981335,973.3355239702612,504.08372380933616,790.1589204292436,981.2614853722807,520.5198134596991,848.881310193687,985.6411551084918,542.4509258432872,826.8389068500197,990.4852071980156,565.29207286376,806.2503703594599,989.3228998224631,574.3274426758787,793.5041545608174
6416,1777036177.221087,977.5367666405879,512.697905715627,853.0011299289044,972.3754192240754,507.5110942776584,857.1744221444804,959.7193400812843,506.50447955417985,828.4545138912381,979.9887740228062,502.191465579425,805.2248210214682,975.1282489514341,499.8854113188294,790.5104643233204,982.6981140571004,517.8847171535957,848.8278377133284,986.9353659080997,539.9169147514638,826.8585248359426,991.5752236498951,562.7247892453345,806.1862425747182,990.3628583174492,571.6660685932195,793.3784880023375
