frame_num,recv_timestamp,LASI_x,LASI_y,LASI_z,RASI_x,RASI_y,RASI_z,LPSI_x,LPSI_y,LPSI_z,RPSI_x,RPSI_y,RPSI_z,LTHI_x,LTHI_y,LTHI_z,LKNE_x,LKNE_y,LKNE_z,LTIB_x,LTIB_y,LTIB_z,LANK_x,LANK_y,LANK_z,LHEE_x,LHEE_y,LHEE_z,LTOE_x,LTOE_y,LTOE_z,RTHI_x,RTHI_y,RTHI_z,RKNE_x,RKNE_y,RKNE_z,RTIB_x,RTIB_y,RTIB_z,RANK_x,RANK_y,RANK_z,RHEE_x,RHEE_y,RHEE_z,RTOE_x,RTOE_y,RTOE_z
3508,1777035833.6398444,656.0728759765625,653.4395751953125,1120.8153076171875,907.2103881835938,667.421142578125,1119.3330078125,695.70361328125,473.1314697265625,1150.9072265625,856.6585693359375,461.641845703125,1148.8782958984375,598.603515625,578.1626586914062,857.5563354492188,647.792236328125,630.7515869140625,600.85888671875,632.3062744140625,594.1800537109375,428.9167785644531,661.671630859375,588.34716796875,234.19309997558594,720.6497192382812,488.64837646484375,159.4438018798828,687.3740844726562,755.9717407226562,180.80052185058594,971.5455322265625,640.971435546875,804.3782348632812,941.0858764648438,639.1906127929688,600.44091796875,955.759033203125,540.1687622070312,517.6246337890625,916.140380859375,382.2485656738281,372.7445373535156,846.4196166992188,293.9058837890625,383.3327941894531,902.0350341796875,467.3055419921875,188.13674926757812
3509,1777035833.6408432,655.3294067382812,652.3699340820312,1121.273193359375,906.5448608398438,665.8627319335938,1120.2264404296875,694.6260986328125,472.1041564941406,1151.738037109375,855.4882202148438,460.2389831542969,1149.8321533203125,597.7410888671875,575.5298461914062,857.85888671875,647.2039184570312,625.7846069335938,600.8843383789062,632.1194458007812,587.8158569335938,429.208251953125,661.7685546875,580.8968505859375,234.43075561523438,720.8496704101562,481.1015319824219,159.69683837890625,687.4445190429688,748.384521484375,180.83580017089844,971.5393676757812,642.5531616210938,807.2844848632812,941.1904907226562,644.722412109375,603.4150390625,955.0006103515625,546.4476928710938,519.95703125,914.456298828125,390.23822021484375,373.3571472167969,842.8419799804688,301.4256896972656,379.9080505371094,904.7999267578125,479.6680603027344,191.7901611328125
3510,1777035833.652991,654.6346435546875,651.22802734375,1121.72607421875,905.92724609375,664.2965698242188,1121.1458740234375,693.6564331054688,471.01690673828125,1152.56396484375,854.4260864257812,458.8067321777344,1150.8060302734375,596.994140625,572.850341796875,858.1809692382812,646.6688842773438,620.751708984375,600.9579467773438,631.9698486328125,581.3941040039062,429.5480041503906,661.886962890625,573.4244995117188,234.69239807128906,721.0552978515625,473.5533447265625,159.95973205566406,687.5067749023438,740.7767333984375,180.876220703125,971.5427856445312,643.9849243164062,810.26611328125,941.19775390625,649.7539672851562,606.2324829101562,954.172119140625,552.5152587890625,521.6976318359375,912.7720947265625,398.6413879394531,372.8027038574219,839.4160766601562,309.4310302734375,374.96435546875,907.6082763671875,493.051025390625,194.8817596435547
3511,1777035833.6650589,653.9873657226562,650.02685546875,1122.1669921875,905.3567504882812,662.7289428710938,1122.0772705078125,692.7918701171875,469.88153076171875,1153.3787841796875,853.4708251953125,457.3536682128906,1151.789794921875,596.3597412109375,570.1316528320312,858.512451171875,646.189208984375,615.6644287109375,601.0673217773438,631.8602294921875,574.9301147460938,429.9222717285156,662.0284423828125,565.9371948242188,234.97109985351562,721.2648315429688,466.0139465332031,160.2268524169922,687.5637817382812,733.156494140625,180.9154815673828,971.5552368164062,645.2633056640625,813.279052734375,941.1116943359375,654.3035888671875,608.853759765625,953.30078125,558.3963012695312,522.8284301757812,911.140380859375,407.4809875488281,371.11151123046875,836.2151489257812,318.07574462890625,368.6943359375,910.4434204101562,507.2790832519531,197.30023193359375
3512,1777035833.6793654,653.3883666992188,648.77978515625,1122.5867919921875,904.8344116210938,661.1651611328125,1123.003173828125,692.0288696289062,468.7098083496094,1154.1759033203125,852.6203002929688,455.8880310058594,1152.7720947265625,595.8347778320312,567.3798217773438,858.8416137695312,645.766357421875,610.534912109375,601.1986083984375,631.7915649414062,568.44140625,430.31658935546875,662.1932983398438,558.4423217773438,235.2600860595703,721.477294921875,458.4895935058594,160.4915771484375,687.6200561523438,725.5307006835938,180.94923400878906,971.5779418945312,646.3794555664062,816.2752685546875,940.9397583007812,658.3901977539062,611.2435302734375,952.4127807617188,564.1144409179688,523.3468017578125,909.6073608398438,416.7745056152344,368.3384704589844,833.2922973632812,327.46417236328125,361.25103759765625,913.2960205078125,522.2152099609375,199.013427734375
3513,1777035833.680365,652.8401489257812,647.4998779296875,1122.974365234375,904.3623657226562,659.6097412109375,1123.9039306640625,691.3631591796875,467.51300048828125,1154.9483642578125,851.8715209960938,454.4178161621094,1153.7406005859375,595.416015625,564.5999145507812,859.1558837890625,645.4013671875,605.375732421875,601.3370361328125,631.763916015625,561.9463500976562,430.7164001464844,662.3814697265625,550.9468383789062,235.55303955078125,721.6923828125,450.98065185546875,160.748291015625,687.6806030273438,717.905029296875,180.97506713867188,971.6129150390625,647.3204956054688,819.204833984375,940.6928100585938,662.0321655273438,613.370849609375,951.532958984375,569.6919555664062,523.2627563476562,908.21142578125,426.53497314453125,364.5580139160156,830.6817626953125,337.6576232910156,352.756103515625,916.1629028320312,537.7603149414062,200.05410766601562
3514,1777035833.6893651,652.3462524414062,646.199951171875,1123.3172607421875,903.9434814453125,658.0670166015625,1124.7584228515625,690.7904052734375,466.30181884765625,1155.6885986328125,851.2211303710938,452.9507751464844,1154.6826171875,595.1005249023438,561.7970581054688,859.4427490234375,645.0952758789062,600.2001953125,601.4678955078125,631.7770385742188,555.4625244140625,431.107666015625,662.5928344726562,543.456787109375,235.84426879882812,721.909423828125,443.48065185546875,160.99468994140625,687.7506713867188,710.2830810546875,180.99209594726562,971.6631469726562,648.0714721679688,822.0178833007812,940.3846435546875,665.245849609375,615.2083129882812,950.6848754882812,575.1492309570312,522.5953369140625,906.9827880859375,436.77239990234375,359.858642578125,828.4011840820312,348.6847839355469,343.3141174316406,919.0445556640625,553.8453979492188,200.5001983642578
3515,1777035833.7013643,651.9107666015625,644.8917236328125,1123.6025390625,903.5809326171875,656.541015625,1125.544921875,690.3059692382812,465.0862121582031,1156.38916015625,850.6656494140625,451.4944763183594,1155.5849609375,594.8851318359375,558.9769897460938,859.6905517578125,644.8488159179688,595.0218505859375,601.5773315429688,631.8302612304688,549.0057983398438,431.4776916503906,662.8275146484375,535.976806640625,236.12892150878906,722.1263427734375,435.9776611328125,161.2338104248047,687.8347778320312,702.6669921875,181.00022888183594,971.7319946289062,648.616943359375,824.6669311523438,940.031494140625,668.0457153320312,616.7322998046875,949.8914184570312,580.5056762695312,521.3701171875,905.9439086914062,447.4949035644531,354.3386535644531,826.4534301757812,360.5521240234375,333.027587890625,921.9429321289062,570.4209594726562,200.4545440673828
3516,1777035833.713457,651.5377807617188,643.5859985351562,1123.8175048828125,903.2778930664062,655.0361328125,1126.242919921875,689.9057006835938,463.8753356933594,1157.0421142578125,850.2015991210938,450.0561828613281,1156.4346923828125,594.765869140625,556.146240234375,859.8890991210938,644.6624145507812,589.8543701171875,601.6527709960938,631.9227905273438,542.589599609375,431.8155212402344,663.085693359375,528.5103759765625,236.4030303955078,722.340087890625,428.4580993652344,161.4733123779297,687.9367065429688,695.0579833984375,180.99937438964844,971.8233642578125,648.9429931640625,827.1083984375,939.6515502929688,670.4439086914062,617.9225463867188,949.1749267578125,585.7799072265625,519.6166381835938,905.1100463867188,458.7092590332031,348.102783203125,824.8289794921875,373.2522888183594,322.0088806152344,924.8590698242188,587.4462890625,200.02760314941406
3517,1777035833.7261517,651.2310180664062,642.292236328125,1123.95068359375,903.0370483398438,653.556884765625,1126.8333740234375,689.5859375,462.6773986816406,1157.639892578125,849.8258666992188,448.64306640625,1157.2191162109375,594.7378540039062,553.3123168945312,860.0301513671875,644.5362548828125,584.7114868164062,601.6834106445312,632.053466796875,536.2252197265625,432.11248779296875,663.367431640625,521.0595703125,236.6637420654297,722.5488891601562,420.9110107421875,161.72142028808594,688.0590209960938,687.4569702148438,180.98867797851562,971.9412231445312,649.0382080078125,829.3040161132812,939.2639770507812,672.4506225585938,618.7625122070312,948.5572509765625,590.9901123046875,517.3675537109375,904.4902954101562,470.4209899902344,341.2600402832031,823.508056640625,386.76971435546875,310.38775634765625,927.79150390625,604.8814086914062,199.32501220703125
