frame_num,recv_timestamp,Root_x,Root_y,Root_z,L_Femur_x,L_Femur_y,L_Femur_z,L_Tibia_x,L_Tibia_y,L_Tibia_z,L_Foot_x,L_Foot_y,L_Foot_z,L_Toe_x,L_Toe_y,L_Toe_z,R_Femur_x,R_Femur_y,R_Femur_z,R_Tibia_x,R_Tibia_y,R_Tibia_z,R_Foot_x,R_Foot_y,R_Foot_z,R_Toe_x,R_Toe_y,R_Toe_z
4497,1777035722.3922725,937.111541811474,526.376330439979,851.5339478803338,931.8390491759354,520.9562170179283,855.2463702517603,916.3324206626538,521.1288974476615,827.9418395624216,934.3329467829539,523.3292179495323,802.6394617737349,929.3775815698394,521.9046478141763,787.8452115799372,942.3840344470126,531.7964438620297,847.8215255089074,946.0249479098641,553.8867362644072,825.8036810803931,950.2125354825625,578.1896603100595,806.8062426785394,950.2763689101176,587.9634990080282,794.5619425490021
4498,1777035722.406275,938.2499702810469,526.6613030504974,850.2515997815342,932.9775206224217,521.2510508003281,853.9784393474898,917.4764050692011,521.1142093523896,826.6705753964482,935.5061177558034,522.8893324611031,801.3555784367907,930.5246221703443,521.3059398005586,786.5862706440348,943.5224199396721,532.0715553006667,846.5247602155786,947.0711827001423,554.2476245718868,824.578212033855,951.1240641863947,578.4630170752517,805.4403022669459,951.0587645232257,588.1354164873701,793.1157207799737
4499,1777035722.4072738,939.5650954354014,526.8167589765685,849.0370618242131,934.2916680599135,521.4162283663494,852.7765966625467,918.8021211422308,520.9893787564686,825.4651617269703,936.8843066250039,522.2531210160026,800.1568983264909,931.8729691705843,520.5154885826379,785.4150526582232,944.8385228108893,532.2172895867876,845.2975269858795,948.3001453531317,554.5020632796578,823.4473834308048,952.2149800950106,578.6100532868898,804.1458405019359,952.0507151690902,588.1638979202805,791.7300460038896
4500,1777035722.4193747,941.1846026734514,526.4776468887663,847.8407124862339,935.9094995692823,521.0894484786617,851.5956416596405,920.4426529292649,520.4096850374497,824.2764667229235,938.602323658546,521.0529500059982,799.0003269491305,933.5545343551336,519.1732581437814,784.2883772172273,946.4597057776206,531.865845298871,844.0857833128273,949.8239931711192,554.2860173874238,822.3592972555194,953.5814841948751,578.2749324974617,802.8789511156333,953.3449091789994,587.7064850189747,790.3711642387162
4501,1777035722.4318838,943.1156941367059,525.7863007680878,846.8196562631624,937.8387251115196,520.4136456678992,850.594184451587,922.4059863250003,519.5211410422509,823.2618455179168,940.663985509597,519.4299027691015,798.0485987211877,935.5734594889818,517.4184024498362,783.368840734027,948.3926631618922,531.1589558682764,843.0451280747378,951.585411746029,553.747381555928,821.467544243903,955.0996232152094,577.6301497945215,801.8121538460631,954.8117528354327,586.9375143671552,789.2127499467073
4502,1777035722.441269,945.2619342843018,524.7955771050813,846.0139321722628,939.9787263131628,519.4411486358006,849.8055937163118,924.5943964344176,518.3736602526667,822.4522464754605,942.9650509260524,517.4372856571647,797.3382478124466,937.8280424814952,515.3033255447673,782.6920113763578,950.5451422554407,530.150005574362,842.2222706282138,953.5061715976481,552.926119903863,820.8095719699677,956.7133927093685,576.7170307778401,800.9909704752357,956.3888243263202,585.9014345149061,788.3025400513469
4503,1777035722.4546556,947.6529250661848,523.2723215889858,845.4053517508582,942.3623252076653,517.9405161564098,849.2185252231455,927.0478907973112,516.7464118085112,821.8312114439144,945.5369315868961,514.8435719911278,796.8591221442496,940.3489916875644,512.6017311386511,782.2469931941047,952.9435249247043,528.6041270215619,841.5921782785709,955.6478392622857,551.5662193420189,820.3447844907407,958.5294344914626,575.2715691002709,800.3742192895724,958.1755928183717,584.3417166875096,787.6046420812751
4504,1777035722.4672637,950.1767280747055,521.4629942332473,845.0934632862843,944.8795564323872,516.1545709435287,848.9300636997446,929.6528342900267,514.8759290777134,821.4976968619541,948.2527821560566,511.8948197342553,796.7141216730652,943.0122870541253,509.55562718338035,782.1360466094932,955.4738997170238,526.7714175229659,841.2568628728241,957.8817224046909,549.9210832735549,820.1780083478379,960.4033170963792,573.5466627822361,800.0647235397859,960.0230231162151,582.5077934694924,787.2191641297353
4505,1777035722.4672637,952.7011411910587,519.4620775217537,845.1095777516841,947.3992650266011,514.1770107016256,848.9718394993015,932.28094129529,512.8514969801172,821.4818041505767,950.9702838370191,508.6954690696429,796.9357946980148,945.6786796730046,506.26812911364334,782.390629543505,958.0030173555162,524.7471443418818,841.2473160040668,960.1114255603434,548.071521375109,820.3296011814947,962.2790112170776,571.6134199086067,800.0774097312046,961.87239644086,580.4699473832967,787.1603098718555
4506,1777035722.479274,955.2764572322537,516.9263097121636,845.4339197800242,949.9669099753135,511.6701611695611,849.3249991146029,934.9807655246167,510.35201284146126,821.7623304841392,953.7194189238047,504.92670830253957,797.5033195371726,948.3769491621281,502.42814748515065,782.9888407676834,960.586004489194,522.1824582547662,841.5428404454456,962.4084826627143,545.6559291635716,820.765509545032,964.2486519416802,569.1210936600104,800.3922303573361,963.8108200038188,577.8841946819928,787.4125829455111
