Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z
independent_20260508_171339,trial_001,subject_001,1778231619.4518063,1778231619.4518063,954417.4152943,353658,BBS05,0,0,1,-106.34630787084674,778.4406344838972,49.77207097268871,-108.62052001937344,562.732694966177,54.974050611679694,-39.75216055215217,503.66977490608116,62.06340740241306,137.45164687168875,819.2256069963186,44.91757958516882,157.16369451286542,595.9165365816845,56.411247542165114,98.10062386606774,535.5213671939146,60.604971636616725
independent_20260508_171339,trial_001,subject_001,1778231619.4618084,1778231619.4618084,954417.4258203,353659,BBS05,0,0,1,-106.35544446565666,778.4299706661986,49.77242957257347,-108.66147969800716,562.7200197192547,55.01182504461922,-39.747026585161606,503.66704726025085,62.07466663517523,137.42312065614396,819.2266176438093,44.9203869141052,157.16679612234526,595.9135704441946,56.40403284845045,98.10981769087546,535.5056902523999,60.5950536906044
independent_20260508_171339,trial_001,subject_001,1778231619.4718077,1778231619.4718077,954417.435613,353660,BBS05,0,0,1,-106.35061286684652,778.4487842871938,49.78165419384062,-108.64038641321201,562.7173008943616,54.988246306996444,-39.74644777691168,503.67480633539446,62.06154383371011,137.39615623291346,819.2099229775234,44.95581037665916,157.1711030272049,595.8982911573488,56.397200006197465,97.97240107834163,535.6691301256225,60.52429503525422
independent_20260508_171339,trial_001,subject_001,1778231619.4818065,1778231619.4818065,954417.4451472,353661,BBS05,0,0,1,-106.36639784200956,778.4342471638743,49.773541274658015,-108.62117740418789,562.7267299884245,54.96982188274452,-39.74308171291821,503.6638245719986,62.06809177830002,137.37358014288034,819.2157339988967,44.95553598833233,157.15974641053356,595.9275162043249,56.415638461442015,97.96074994962679,535.6740009926364,60.51745431550444
independent_20260508_171339,trial_001,subject_001,1778231619.490322,1778231619.490322,954417.4542523,353662,BBS05,0,0,1,-106.3501077011597,778.4225673589231,49.75356436973715,-108.6379834636478,562.7399479323163,54.98307589898794,-39.75756031530914,503.66711563839084,62.06582992290976,137.3727689392064,819.2010809501452,44.968517931344294,157.1511530469187,595.8994649039523,56.40130497796673,97.8592545273068,535.6174579690858,60.59587175513913
independent_20260508_171339,trial_001,subject_001,1778231619.5003204,1778231619.5003204,954417.4641163,353663,BBS05,0,0,1,-106.33995798979565,778.4212902535439,49.760950533327154,-108.63952873253625,562.7272465170872,54.977978513845194,-39.77838491989679,503.6237721767406,62.061055502250035,137.37575580895003,819.2072132845033,44.974068609750915,157.15970390479134,595.9043386103833,56.42518929582942,97.88991849928915,535.6195415867544,60.57569739964053
independent_20260508_171339,trial_001,subject_001,1778231619.510326,1778231619.510326,954417.4744961,353664,BBS05,0,0,1,-106.34734669367148,778.4149688918305,49.744200523203034,-108.6343889213046,562.741076900087,54.97881429475864,-39.75706257685229,503.6506773925033,62.07785931933963,137.38071330629535,819.2221209177778,44.980296121552705,157.1629887273511,595.9160842288804,56.42440207830866,97.9278941401792,535.654823041541,60.54882514757294
independent_20260508_171339,trial_001,subject_001,1778231619.5208364,1778231619.5208364,954417.4842703,353665,BBS05,0,0,1,-106.33720259506241,778.4429684644849,49.74956834333883,-108.66438660199441,562.7244986480401,55.00119741564041,-39.75163571558061,503.65470352545594,62.07554488333216,137.4013656485994,819.2032249621587,44.958928310442836,157.1534927719762,595.9075671356084,56.42859842768097,98.05687707383773,535.5056463380461,60.608595988761685
independent_20260508_171339,trial_001,subject_001,1778231619.5308404,1778231619.5308404,954417.4942565,353666,BBS05,0,0,1,-106.3608086078682,778.4340977090739,49.75545397348076,-108.65445238602322,562.7178911892056,54.97543219567778,-39.7722596770803,503.63696809459066,62.07171112572844,137.40492726718418,819.211534288641,44.97408805952178,157.15025702349337,595.9105013577905,56.4227391925887,97.88525016721002,535.6412680878989,60.55840312581971
independent_20260508_171339,trial_001,subject_001,1778231619.5408654,1778231619.5408654,954417.5044666,353667,BBS05,0,0,1,-106.35191106236745,778.4184434368306,49.74133764179108,-108.6411734568808,562.7375579749043,54.97487879457621,-39.746016655687804,503.6701367384813,62.06742878416173,137.36751011730857,819.202710613753,44.967078270914904,157.1616567385773,595.9104249891079,56.43907610835763,98.01152339079394,535.485435396518,60.60297542080831
