Session_ID,Trial_ID,Subject_ID,Timestamp,IMU_Recv_Timestamp,IMU_Recv_Timestamp_Mono,IMU_Device_ID,IMU_Device_Name,IMU_Device_Seq,IMU_Parse_OK_Flag,IMU_Acc_X,IMU_Acc_Y,IMU_Acc_Z,IMU_Gyro_X,IMU_Gyro_Y,IMU_Gyro_Z,IMU_Roll,IMU_Pitch,IMU_Yaw,IMU_Quat_x,IMU_Quat_y,IMU_Quat_z,IMU_Quat_w
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.960283,10,L_Femur,1,1,-0.4833,9.3837,-1.0097,48.9502,-0.1221,-4.0283,87.5391,7.3608,-27.9877,0.6586,0.2119,-0.1312,0.71
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9605665,11,L_Tibia,1,1,-1.6796,9.5464,-1.6604,31.6772,-93.0786,0.3662,95.5536,3.4882,-42.4786,0.6825,0.2872,-0.2223,0.6342
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9607009,12,L_Foot,1,1,-0.8565,0.378,10.1445,-0.9155,1.8921,-0.3052,-0.1923,3.653,-127.2601,-0.0293,0.0127,-0.8955,0.4439
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9608313,15,R_Foot,1,1,0.7226,2.0576,10.5178,182.4951,-9.2773,-25.3906,21.7419,-3.7848,-150.9906,0.0786,0.1744,-0.9518,0.2398
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9609533,9,Trunk,1,1,0.4833,9.1731,-2.2777,-0.9155,-7.019,-9.9487,39.7101,-23.3789,-85.8801,0.3733,0.0871,-0.6778,0.6274
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9610541,10,L_Femur,2,1,-0.5216,9.8574,-0.5981,49.9268,16.4185,-7.8735,88.5553,7.5037,-27.746,0.6651,0.2125,-0.1269,0.7045
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9611502,11,L_Tibia,2,1,1.2106,10.0871,-1.6748,26.5503,-61.0962,-3.3569,96.026,3.6859,-43.9618,0.6809,0.298,-0.2281,0.629
independent_20260430_193355,trial_001,subject_001,1777548835.35142,1777548835.35142,271626.9612633,12,L_Foot,2,1,-0.6891,0.1771,10.0105,-0.4272,1.6479,-0.1831,-0.1868,3.6804,-127.2656,-0.0295,0.0128,-0.8955,0.4438
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9613659,13,R_Femur,1,1,0.2058,10.0105,-2.7228,-93.3228,-54.1382,10.6812,112.9834,1.2195,-47.8674,0.7597,0.3436,-0.2158,0.5082
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.96146,14,R_Tibia,1,1,-1.7944,9.2066,-5.2397,111.9995,-54.6875,-17.5171,134.3738,11.3159,179.8462,0.0395,-0.9172,0.386,-0.0904
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9615539,10,L_Femur,3,1,-0.7178,9.8239,-0.7369,47.9126,27.2217,-9.4604,89.3298,7.6465,-27.356,0.6703,0.2119,-0.1223,0.7006
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9616499,11,L_Tibia,3,1,2.316,9.733,-1.4643,26.2451,-10.8032,-8.3008,96.3995,3.8342,-44.2639,0.6818,0.3013,-0.2279,0.6265
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.961741,12,L_Foot,3,1,-0.5981,0.0861,9.8526,0.5493,1.8921,0.3052,-0.1758,3.7244,-127.2711,-0.0298,0.0131,-0.8955,0.4438
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9618338,13,R_Femur,2,1,0.8948,10.245,-3.2683,-96.2524,-44.7998,11.5967,111.5167,1.3129,-48.5706,0.7508,0.3458,-0.2228,0.5168
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.961941,15,R_Foot,2,1,0.8039,2.6605,11.226,246.8262,-39.7949,-50.293,28.4601,-4.0485,-152.4683,0.0917,0.2305,-0.943,0.2221
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9620348,9,Trunk,2,1,0.4498,9.087,-1.8375,-0.3052,-5.3101,-9.7046,39.408,-23.4888,-87.8467,0.3707,0.091,-0.6888,0.6163
independent_20260430_193355,trial_001,subject_001,1777548835.3524196,1777548835.3524196,271626.9621514,11,L_Tibia,4,1,2.048,9.4363,-1.3111,28.4424,35.4004,-12.4512,96.85,3.9716,-43.8464,0.685,0.3005,-0.2236,0.6249
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9623096,12,L_Foot,4,1,-0.6412,0.2105,10.0728,0.3662,2.6245,0.3662,-0.1593,3.7683,-127.2711,-0.0301,0.0134,-0.8955,0.4438
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9624653,13,R_Femur,3,1,1.0958,10.8049,-3.9908,-105.835,-21.3623,11.1084,109.4293,1.2909,-49.1638,0.7395,0.3455,-0.2319,0.5291
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9626035,14,R_Tibia,2,1,-1.1963,8.8047,-6.7088,109.8022,-54.3823,-15.625,138.0927,13.1177,178.9618,0.0493,-0.9273,0.3562,-0.1034
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9627103,9,Trunk,3,1,0.6986,9.4315,-1.5695,-1.709,-0.4883,-11.6577,39.1718,-23.4723,-89.1101,0.3683,0.0937,-0.6958,0.6095
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9628686,10,L_Femur,4,1,-1.6844,9.7713,-1.0336,34.1797,34.8511,-6.3477,90.8295,7.9156,-26.1694,0.6811,0.208,-0.1107,0.6932
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9629895,11,L_Tibia,5,1,-0.0766,9.9101,-1.426,26.5503,60.6689,-13.4277,97.4872,4.1034,-42.6654,0.6912,0.2953,-0.2147,0.6236
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9630846,12,L_Foot,5,1,-0.8087,0.1483,10.0919,0.2441,2.0752,0.6104,-0.1428,3.8068,-127.2656,-0.0303,0.0136,-0.8955,0.4438
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9632243,13,R_Femur,4,1,0.7561,11.1733,-4.4215,-112.6099,-6.3477,12.3291,107.7429,1.1481,-49.3451,0.7315,0.3425,-0.2388,0.5391
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9633403,15,R_Foot,3,1,0.2345,3.1247,8.5606,305.0537,-36.7432,-66.8335,38.584,-3.7573,-154.7205,0.1024,0.3154,-0.9228,0.1959
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9634564,9,Trunk,4,1,0.7896,9.5895,-1.4021,0.2441,5.7983,-11.9019,39.007,-23.3844,-89.9945,0.3663,0.0961,-0.7005,0.6049
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9635521,10,L_Femur,5,1,-2.1581,9.733,-1.4786,33.02,31.189,-5.8594,91.3953,7.9926,-25.6696,0.6853,0.2061,-0.1061,0.6904
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9636448,11,L_Tibia,6,1,-2.0959,9.9723,-1.536,22.7661,39.7949,-9.8267,97.8937,4.1803,-41.9733,0.695,0.2923,-0.2094,0.6226
independent_20260430_193355,trial_001,subject_001,1777548835.3534188,1777548835.3534188,271626.9637329,12,L_Foot,6,1,-0.8183,0.1483,10.0058,-0.4883,1.1597,0.4883,-0.1318,3.8452,-127.2601,-0.0306,0.0139,-0.8955,0.4439
independent_20260430_193355,trial_001,subject_001,1777548835.3549242,1777548835.3549242,271626.9638346,13,R_Femur,5,1,0.4498,11.1063,-4.8952,-116.5771,0.9155,13.916,105.9906,0.9503,-49.389,0.7234,0.3382,-0.2454,0.5496
independent_20260430_193355,trial_001,subject_001,1777548835.3549242,1777548835.3549242,271626.9639394,14,R_Tibia,3,1,-1.6939,8.0199,-6.6609,78.7964,-53.2837,-11.1694,140.5646,14.5734,178.2092,0.0574,-0.933,0.3365,-0.1142
independent_20260430_193355,trial_001,subject_001,1777548835.3549242,1777548835.3549242,271626.9640314,9,Trunk,5,1,0.823,9.7856,-1.2202,0.5493,10.6201,-11.5967,38.8092,-23.2361,-90.8295,0.3637,0.0984,-0.705,0.6009
