Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_LASI_X,Vicon_LASI_Y,Vicon_LASI_Z,Vicon_RASI_X,Vicon_RASI_Y,Vicon_RASI_Z,Vicon_LPSI_X,Vicon_LPSI_Y,Vicon_LPSI_Z,Vicon_RPSI_X,Vicon_RPSI_Y,Vicon_RPSI_Z,Vicon_LTHI_X,Vicon_LTHI_Y,Vicon_LTHI_Z,Vicon_LKNE_X,Vicon_LKNE_Y,Vicon_LKNE_Z,Vicon_LTIB_X,Vicon_LTIB_Y,Vicon_LTIB_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_RTHI_X,Vicon_RTHI_Y,Vicon_RTHI_Z,Vicon_RKNE_X,Vicon_RKNE_Y,Vicon_RKNE_Z,Vicon_RTIB_X,Vicon_RTIB_Y,Vicon_RTIB_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z
independent_20260430_190041,trial_001,subject_001,1777546842.016135,1777546842.016135,269633.6256085,1549795,001,0,0,1,-35.23228559108161,550.1051677095612,850.076545197545,50.679753274096335,557.2344980066471,855.4802240852545,-2.619244876451535,327.9552478747199,890.3090989877604,51.847822940358796,331.4776407027306,886.2524937272817,-161.98282104012648,453.6684499326985,695.7864517181264,-133.3417170805542,404.3027711404097,402.78698436649205,-169.77774291536568,333.1954230205374,300.5398869183082,-113.98430694108052,257.0349177506412,80.34611683592524,-56.59736828880621,178.12841247748992,49.62711137208434,-53.163435810292526,450.9267158388974,54.89076077738447,200.90339614268882,527.2756415632463,693.3487803155152,178.54555460693456,630.1918607729051,443.0166668887458,215.54016814239336,611.95220375968,312.64001957467224,173.66055863556375,668.8956836907918,74.83547369129307,125.63999855390378,632.265229874798,26.937386194479004,152.39289750358577,871.9354069732254,126.5674001472281
independent_20260430_190041,trial_001,subject_001,1777546842.0267282,1777546842.0267282,269633.6358228,1549796,001,0,0,1,-34.47906160481652,551.4650938740018,849.106515306983,50.674137113618585,557.8808060738488,854.6780412375389,-0.647043325506715,329.43662244942584,889.3594577669704,53.609537179453554,333.2969095045922,884.9834187710923,-161.13522167899043,453.42573037492537,695.1264113189025,-132.87894784821415,402.3688955183163,402.2372776153253,-169.69750418277127,330.1184770247536,300.719091566982,-114.19069158341405,252.60094680363093,80.62857490839669,-56.78196495379864,173.67925970909354,49.90744307232073,-53.47814214928734,446.42483875353435,54.695496904163356,201.20523202348673,529.4914712159804,691.5144969691175,177.7468416447704,631.4918734644683,440.803236628947,214.71135335645894,611.7387958097221,310.53002653033064,172.92461644732808,665.993513336974,73.56616533741906,125.83422158463219,627.662195827703,27.27737055529638,150.58700538328148,870.0637120870654,122.49736765768813
independent_20260430_190041,trial_001,subject_001,1777546842.0363438,1777546842.0363438,269633.6455763,1549797,001,0,0,1,-33.41823180598603,553.61384607323,847.9207716763812,51.456631697184605,559.7996959008125,853.3519919996327,1.100133147408703,331.05589235690815,888.330966377446,55.51896199812055,335.01254321705005,884.00642866678,-160.22051142348647,453.2464528054707,694.5411564087876,-132.407423890919,400.2486647733628,401.845098227236,-169.48596202049103,327.1652842684069,300.96963952614686,-114.3345291688618,248.25645829986271,81.04129053464503,-57.03676059152479,169.19205599612374,50.24494817455284,-53.72120828642583,441.9783233074732,54.59683093939217,201.45676487554678,531.7433049550592,689.5516399084709,177.05241473758358,632.5662666560361,438.4309542723105,213.92983921838635,611.4120346295446,308.3560601543345,172.66361988588702,663.1312509066728,72.33794610924296,125.15381681747037,624.4418931276729,27.430664671113824,148.81916901299735,867.729184759816,118.69761127132297
independent_20260430_190041,trial_001,subject_001,1777546842.04634,1777546842.04634,269633.6555011,1549798,001,0,0,1,-32.858065251102914,554.4671548698503,846.783171432061,52.28617346466202,561.8651430686292,851.9059439042563,3.034162211802704,332.78102279443164,887.4546656671818,57.37964469692268,337.1005036063744,882.7636383521459,-159.3473666098232,453.1750485607211,693.7870557302051,-132.0985122297253,398.1517540439624,401.53674742482656,-169.2402053612258,324.1794282417706,301.40742484513305,-114.55311305188087,244.20632958245235,81.47374498198681,-57.376144296836465,164.7310697503392,50.531049289498654,-54.04176877818194,437.5312341109566,54.449030244515534,201.6886645721191,533.9266961420045,687.4806197368841,176.49996456814526,633.1963565029955,436.02058521956366,213.2136733352452,611.1185949239307,306.08806602756715,173.48393839134505,660.5409601344733,72.21288249005993,125.09489965664675,620.9079605038818,27.720369906827802,147.06983892743213,865.7676486969356,113.9008367132094
independent_20260430_190041,trial_001,subject_001,1777546842.0563416,1777546842.0563416,269633.6658441,1549799,001,0,0,1,-31.949024941352803,556.2442046626599,845.4906712614643,53.1855542372627,563.9840252711267,850.3573895256504,5.14387058953062,334.645091353383,886.7520427137435,59.58365969313511,339.13484185107205,881.8115071790766,-158.34715085418097,453.2464903297775,693.1355849264162,-131.75323724442828,395.9935419104997,401.2962694211219,-169.08486211407072,321.14894154625034,301.68436479672175,-114.66545608391634,239.93303153703715,81.75564052015777,-57.58692377902038,160.33780837218828,50.95714940246883,-54.34378404614324,433.095417941466,54.33549008191527,202.0870650484818,536.0577552524348,685.4468587307747,176.19068821765697,633.5120460468017,433.75393291280307,212.6539883429299,611.0014971558244,303.859435136738,173.1436457782574,659.2521686361831,71.07395505175099,125.51488172286987,618.2802014173282,28.249578883278964,145.2120805258682,865.3114389824866,107.16926059440827
independent_20260430_190041,trial_001,subject_001,1777546842.06585,1777546842.06585,269633.6755836,1549800,001,0,0,1,-31.003086972650035,557.9961746066936,844.1649643090178,54.16557887299334,566.3067696750368,848.7509431239214,7.174462447618725,336.7577271558914,886.0624057385177,61.56412556339391,341.3890340170544,881.0223115984342,-157.2687439668429,453.3030337855057,692.4714588437333,-131.34260703152887,393.8166412506775,401.0745394977202,-168.80871634924247,318.3748111565463,302.1337589180608,-114.92947848292992,235.77695824231782,82.18205025125151,-57.94713994283211,155.9126636670896,51.17278160096635,-54.566283019521755,428.69437310868835,54.23901181362679,202.6323146314301,538.1684030618188,683.5680988739956,176.26029243999787,634.1058069734723,431.70120702916637,212.22621820163502,611.264424801293,301.8506979119026,173.19983657687996,658.3650484454312,70.3480351687218,125.35329429717106,615.2550619550623,29.326581625086096,143.98567498422386,865.4266292561749,99.61556377744543
independent_20260430_190041,trial_001,subject_001,1777546842.0758507,1777546842.0758507,269633.6853484,1549801,001,0,0,1,-29.94395221504741,559.7284818788622,842.8303091706263,55.180902534471585,568.5423152152113,847.159772631462,9.035352776603505,338.8113826045543,885.5344342685593,63.58929863264762,343.62280794920974,880.3923856293122,-156.2777133940088,453.4110025553802,691.7290341658188,-130.9346043024556,391.6292158154028,400.86909387887744,-168.55990335635315,315.5874554419016,302.60422923645,-115.1349413117152,231.6354043001941,82.84158382631006,-58.24222802222388,151.49254563322296,51.67608004531872,-54.84910604343836,424.2576350735703,54.05765711195751,203.270858569344,540.1695148606021,681.8349125038333,176.45444172955789,634.9945172140142,430.07414595159025,212.0091845466075,612.0426887854381,300.25695526444457,173.48564263652978,657.1529914605173,69.94468719292604,125.91268790517769,611.9797397275503,30.735223329248402,143.42134176919026,865.0430457710263,92.16801696627486
independent_20260430_190041,trial_001,subject_001,1777546842.0858514,1777546842.0858514,269633.6955613,1549802,001,0,0,1,-28.80675667686118,561.4433109791023,841.5636541472791,56.263630703304344,570.9348569399415,845.6015344870807,11.115338299333525,340.9645771701899,885.0622728989232,65.48739956630133,345.7692173847073,879.9011388865385,-155.04682195964145,453.6897684256752,691.0639234022667,-130.45583330786465,389.6596636848085,400.631706009099,-168.07304783043483,312.9811952590149,303.21955748856726,-115.2302175116671,227.76805560026614,83.40229740733054,-58.480725987357225,147.18427232449656,52.29558671686338,-55.151612964795206,419.8667726081164,53.94560444513343,204.0873667602782,542.0408362007705,680.3435133272997,176.97895156642508,636.4214381788316,429.09596025911145,212.16810832143523,613.1755793652495,299.18066600510167,173.4333362604962,655.6346407575237,69.08203852633501,126.05145832185585,609.1351104907205,31.93844842177369,143.32476066040346,864.0700409549564,85.40390555715612
independent_20260430_190041,trial_001,subject_001,1777546842.0958512,1777546842.0958512,269633.7052485,1549803,001,0,0,1,-27.592577389499215,563.3105321584593,840.3574292847799,57.39085355728956,573.1630086738257,844.1652187136739,13.064970823420003,342.9731266314529,884.8563971505306,67.59385765537216,348.0866316924557,879.6443836628971,-153.83947081306707,454.06639830026086,690.4657985108252,-129.67489669301202,388.0404856213028,400.370092862307,-167.51270141680948,310.51819483895343,303.88738017161995,-115.34329113602789,223.7448831809554,84.24638302371916,-58.723758598551186,142.85283965123253,52.954245020976494,-55.36032959682393,415.61120125732805,53.892468644751865,205.15655472100036,543.875503039455,679.2278372514154,177.86586873060392,638.2473462531899,428.4320943504863,213.1547999431104,614.5031457310748,298.52698458634296,173.8759369282527,653.5708470066835,68.66537582091831,126.20706190196061,606.0983011113699,32.905135362350805,143.48304623371408,862.558817068314,79.04143489332094
independent_20260430_190041,trial_001,subject_001,1777546842.106859,1777546842.106859,269633.7158514,1549804,001,0,0,1,-26.355289584580625,565.0323088387677,839.3848047992981,58.59863242796214,575.3575938972762,843.0088874825001,15.003178314426702,345.16210256749025,884.7832800706474,69.63227159362268,350.27615498628404,879.5524780485247,-152.50328325105104,454.5243163663339,689.8899374794373,-128.66455776394784,386.7215903169831,400.1791443205301,-166.88559604994765,308.1541922112319,304.60194609771344,-115.54210877828338,219.85033291799724,85.13937584229755,-59.07255907249783,138.6161923949926,53.7766277632899,-55.57041740044297,411.250610483859,53.69282053593208,206.437909307169,545.7579927057437,678.5701162726723,178.92555260055866,640.36775691527,427.84759952513673,214.66389066411057,615.9440730573132,298.17852972106516,174.093846544436,651.0685741637913,68.14568590549409,126.46536187211484,602.8395900954165,33.88747405103554,143.91218327061802,860.5355497803384,73.58840449802997
