session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_160628,trial_001,1777536388.9370844,259180.5468036,L_Femur,1,-1.091,3.7611,9.1779,-0.7324,-0.7935,-1.2817,21.8079,7.0862,-19.3524,0.1759,0.0916,-0.1532,0.9681
independent_20260430_160628,trial_001,1777536388.939083,259180.5482419,L_Tibia,1,0.981,9.3071,-2.7371,-0.4272,-0.7324,0.9766,106.5509,-6.059,10.014,0.7946,-0.1013,0.0099,0.5986
independent_20260430_160628,trial_001,1777536388.939083,259180.5483524,L_Foot,1,-0.7034,2.2777,9.7521,-0.061,-0.2441,0.2441,11.7773,3.4772,68.3899,0.1018,-0.0327,0.5614,0.8206
independent_20260430_160628,trial_001,1777536388.939083,259180.5484434,R_Femur,1,-1.2681,-5.8235,7.9769,-1.8311,-1.1597,-1.1597,-34.9969,7.7234,-1.9336,-0.301,0.0592,-0.0363,0.9511
independent_20260430_160628,trial_001,1777536388.939083,259180.5485344,R_Foot,1,2.6845,0.7656,9.4507,2.3804,-2.3193,3.0518,4.4055,-16.7871,-5.0317,0.0444,-0.1441,-0.049,0.9874
independent_20260430_160628,trial_001,1777536388.939083,259180.5486211,L_Femur,2,-1.1484,3.6989,9.2066,0.0,0.0,-1.0376,21.7969,7.0972,-19.3689,0.1758,0.0917,-0.1533,0.9681
independent_20260430_160628,trial_001,1777536388.939083,259180.5487044,L_Tibia,2,0.981,9.2784,-2.7132,-0.6104,-1.4038,0.7935,106.5509,-6.059,10.0305,0.7946,-0.1015,0.01,0.5985
independent_20260430_160628,trial_001,1777536388.939083,259180.5487873,L_Foot,2,-0.713,2.3112,9.7569,-0.1831,-0.1831,0.3052,11.7773,3.4662,68.3569,0.1017,-0.0327,0.5611,0.8208
independent_20260430_160628,trial_001,1777536388.939083,259180.5488781,R_Femur,2,-1.2681,-5.8044,7.9673,-0.8545,-1.2817,-1.4648,-34.964,7.6465,-1.983,-0.3008,0.0584,-0.0365,0.9512
independent_20260430_160628,trial_001,1777536388.939083,259180.5489617,R_Tibia,1,-0.4737,9.1684,2.785,-0.4272,-7.9956,1.8921,73.2184,1.626,89.2035,0.4326,-0.4106,0.5696,0.5655
independent_20260430_160628,trial_001,1777536388.9401736,259180.5490433,Trunk,1,-0.8996,9.3693,2.7323,1.4038,0.8545,-1.8311,73.1744,4.9274,-18.5504,0.5821,0.13,-0.104,0.7958
