Session_ID,Trial_ID,Subject_ID,Timestamp,Planter_Recv_Timestamp,Planter_Recv_Timestamp_Mono,Planter_Side,Planter_Side_Seq,Planter_Parse_OK_Flag,Planter_Init_OK_Flag,Planter_0,Planter_1,Planter_2,Planter_3,Planter_4,Planter_5,Planter_6,Planter_7,Planter_8,Planter_9,Planter_10,Planter_11,Planter_12,Planter_13,Planter_14,Planter_15,Planter_16,Planter_17
independent_20260430_165647,trial_001,subject_001,1777539410.5479808,1777539410.5479808,262202.1571646,Left,14,1,1,11779,0,20749,2569,36353,0,0,0,36622,26634,1027,15104,18432,0,29703,26115,1795,0
independent_20260430_165647,trial_001,subject_001,1777539410.6379433,1777539410.6379433,262202.2473435,Right,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539410.7981076,1777539410.7981076,262202.4073804,Left,15,1,1,63746,0,52493,36105,58369,0,0,0,6671,5131,25347,21760,15104,0,60423,34819,60418,0
independent_20260430_165647,trial_001,subject_001,1777539410.8240068,1777539410.8240068,262202.4332134,Right,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539410.998791,1777539410.998791,262202.6076888,Left,16,1,1,61698,0,2318,19978,6914,0,0,0,31503,54795,54531,36096,32768,0,7176,52227,9219,0
independent_20260430_165647,trial_001,subject_001,1777539411.0013874,1777539411.0013874,262202.6104261,Right,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.1378956,1777539411.1378956,262202.7471407,Right,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.2282639,1777539411.2282639,262202.8372672,Left,17,1,1,28931,0,4622,64521,11266,0,0,0,3599,40459,50691,38912,35584,0,62471,48387,11779,0
independent_20260430_165647,trial_001,subject_001,1777539411.2680466,1777539411.2680466,262202.8773519,Right,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.4073431,1777539411.4073431,262203.0172688,Left,18,1,1,48131,0,64781,24073,10498,0,0,0,44814,52746,36867,42752,52736,0,50695,51971,18179,0
independent_20260430_165647,trial_001,subject_001,1777539411.438242,1777539411.438242,262203.0473757,Right,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.4986737,1777539411.4986737,262203.1076624,Left,19,1,1,60675,0,38925,35080,8962,0,0,0,9230,44809,7171,41216,12289,0,30215,61699,40451,0
independent_20260430_165647,trial_001,subject_001,1777539411.578227,1777539411.578227,262203.1872307,Right,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.697646,1777539411.697646,262203.3074569,Left,20,1,1,23044,0,20749,28423,61953,0,0,0,44045,32776,30722,46592,30465,0,6407,4,3076,0
independent_20260430_165647,trial_001,subject_001,1777539411.7914689,1777539411.7914689,262203.4005905,Right,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539411.81817,1777539411.81817,262203.4272935,Left,21,1,1,48900,9984,60172,25606,41217,0,0,0,2061,16647,63745,47872,57345,0,28166,2564,17924,0
independent_20260430_165647,trial_001,subject_001,1777539411.957346,1777539411.957346,262203.5671601,Right,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539412.038332,1777539412.038332,262203.6473184,Left,22,1,1,49412,13056,5388,25348,56064,0,0,0,5132,22021,10497,53248,50946,0,38149,5380,1285,0
independent_20260430_165647,trial_001,subject_001,1777539412.175263,1777539412.175263,262203.7845183,Right,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539412.25483,1777539412.25483,262203.8642779,Left,23,1,1,28676,12288,49418,15105,0,0,0,0,26122,42753,0,17408,33795,0,46851,31747,44037,0
independent_20260430_165647,trial_001,subject_001,1777539412.3986523,1777539412.3986523,262204.0075434,Right,25,1,1,0,0,30977,0,0,0,0,0,3075,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539412.4388843,1777539412.4388843,262204.0486026,Left,24,1,1,30980,14592,37896,0,0,0,13568,0,51975,0,0,0,12804,0,64000,17410,32262,0
independent_20260430_165647,trial_001,subject_001,1777539412.609796,1777539412.609796,262204.2192277,Right,26,1,1,0,0,40454,14854,0,0,0,0,9479,28677,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539412.648831,1777539412.648831,262204.2577299,Left,25,1,1,12548,37376,21254,0,0,0,32512,0,46086,0,0,0,38660,0,0,0,47622,0
independent_20260430_165647,trial_001,subject_001,1777539412.848236,1777539412.848236,262204.4573659,Right,27,1,1,0,0,8967,23559,0,0,0,0,47624,29446,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539412.8886452,1777539412.8886452,262204.4976393,Left,26,1,1,63234,24576,58116,0,0,0,0,0,61445,0,0,0,37634,0,0,0,61188,0
independent_20260430_165647,trial_001,subject_001,1777539412.9975984,1777539412.9975984,262204.6072166,Right,28,1,1,0,0,43784,28936,0,0,0,0,16906,6919,0,0,0,0,5633,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.1082168,1777539413.1082168,262204.717235,Left,27,1,1,9217,0,62979,0,0,0,0,0,49670,0,0,0,7936,0,0,0,14338,0
independent_20260430_165647,trial_001,subject_001,1777539413.1580968,1777539413.1580968,262204.7671182,Right,29,1,1,0,0,35849,778,0,0,0,0,26379,12296,0,0,0,0,20226,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.329067,1777539413.329067,262204.9382987,Right,30,1,1,0,0,34314,52490,0,0,0,0,53260,35337,0,0,0,0,30467,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.3377817,1777539413.3377817,262204.9475475,Left,28,1,1,0,0,51458,0,0,0,0,0,28165,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.428817,1777539413.428817,262205.0378415,Left,29,1,1,0,0,36097,0,0,0,0,0,10244,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.5198145,1777539413.5198145,262205.1292763,Right,31,1,1,0,0,15115,61707,10752,0,0,0,65037,49674,52224,0,0,0,45828,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.615358,1777539413.615358,262205.2243273,Left,30,1,1,0,0,36352,0,0,0,0,0,50178,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.6980484,1777539413.6980484,262205.3074826,Right,32,1,1,0,0,45323,2317,25088,0,0,0,3087,16140,38401,0,0,0,61957,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.788102,1777539413.788102,262205.3974685,Left,31,1,1,0,0,0,0,0,0,0,0,29185,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539413.9079516,1777539413.9079516,262205.5170691,Right,33,1,1,0,0,524,45837,48896,0,0,0,18448,5645,13314,0,0,0,8455,1281,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.0489695,1777539414.0489695,262205.6578281,Right,34,1,1,0,0,64779,38413,257,0,0,0,53008,12557,28162,0,0,0,58887,1794,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.1179612,1777539414.1179612,262205.7272516,Left,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.2675743,1777539414.2675743,262205.8774045,Right,35,1,1,0,0,53259,11277,4097,0,0,0,40976,45836,35330,0,0,0,60935,17154,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.369259,1777539414.369259,262205.9784326,Left,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.472671,1777539414.472671,262206.0816658,Right,36,1,1,0,0,39947,61963,58112,0,0,0,49423,11019,6146,0,0,0,10759,1538,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.5307906,1777539414.5307906,262206.1396762,Left,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.6184807,1777539414.6184807,262206.2274896,Right,37,1,1,0,0,16140,64522,56576,0,0,0,17935,14090,57857,0,0,0,53510,59905,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.648962,1777539414.648962,262206.2580873,Left,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.778157,1777539414.778157,262206.3874851,Right,38,1,1,40960,0,34572,31754,3329,0,0,0,13071,51465,61697,0,0,0,29446,514,5376,0
independent_20260430_165647,trial_001,subject_001,1777539414.8081567,1777539414.8081567,262206.4172537,Left,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539414.9577754,1777539414.9577754,262206.5672835,Right,39,1,1,41473,0,18445,9482,64000,0,0,0,45071,35849,62465,0,0,0,36870,15618,40960,0
independent_20260430_165647,trial_001,subject_001,1777539415.0376005,1777539415.0376005,262206.6474175,Left,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539415.208339,1777539415.208339,262206.8172964,Right,40,1,1,2818,0,31501,7177,3329,0,0,0,56591,47112,8706,0,0,0,18951,32515,62465,0
independent_20260430_165647,trial_001,subject_001,1777539415.2874744,1777539415.2874744,262206.8972586,Left,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539415.4283392,1777539415.4283392,262207.0372803,Left,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539415.431541,1777539415.431541,262207.0404345,Right,41,1,1,48897,0,16397,45064,2305,0,0,0,30480,63240,55298,19200,7169,0,36360,22277,43011,0
