Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z
independent_20260514_145931,trial_001,subject_001,1778741971.5618875,1778741971.5618875,40868.8117494,78460,BBS05,0,0,1,-72.51353377207947,785.8970164103231,51.61492306122728,-113.88199471431203,573.7978944285661,52.89507149603357,-55.91550534606158,504.171326741321,59.36524153341168,126.93746754203407,779.4749939037733,43.60755532087096,160.23986039619098,560.0757298891081,51.65169177258105,105.38735536647862,495.6960739189284,58.70848141990352
independent_20260514_145931,trial_001,subject_001,1778741971.5719898,1778741971.5719898,40868.8216855,78461,BBS05,0,0,1,-72.52690871949605,785.8816284660936,51.623502879516714,-113.88243507026735,573.7931708855109,52.88826944938017,-55.86683141592853,504.1599774482456,59.37696143410572,126.93901438866865,779.4854598968334,43.589839856594544,160.23470482054714,560.0676800323557,51.66621649161178,105.38180977996855,495.685033139792,58.75464660830031
independent_20260514_145931,trial_001,subject_001,1778741971.5811017,1778741971.5811017,40868.8315659,78462,BBS05,0,0,1,-72.51410047025425,785.8771026884555,51.59736232745502,-113.88499233575584,573.8016082711106,52.894525138033174,-55.84777639494279,504.15550671154995,59.362970665741976,126.94059121551325,779.4921133221487,43.56506964397136,160.22959892382883,560.0867721752438,51.6940868707446,105.38932569083121,495.6697892390135,58.77618367322683
independent_20260514_145931,trial_001,subject_001,1778741971.5922155,1778741971.5922155,40868.8420442,78463,BBS05,0,0,1,-72.5150346973336,785.8976725649457,51.593228439595975,-113.87369345384361,573.7935074947922,52.878448596399096,-55.85706388799076,504.1751421453052,59.393381548442854,126.94544683501876,779.5097447086682,43.543321487066834,160.22012581540662,560.0891914739544,51.6769127776815,105.36703043505752,495.71174864651704,58.814789944031794
independent_20260514_145931,trial_001,subject_001,1778741971.6023276,1778741971.6023276,40868.8519191,78464,BBS05,0,0,1,-72.51687685219655,785.9192421777547,51.59335917341725,-113.873111007871,573.7986193266671,52.88853545069777,-55.85161824539109,504.19124537302054,59.41426005846372,126.94866363772505,779.5206671802131,43.527647388157725,160.2262605115754,560.106641635705,51.68486738999487,105.3886214858281,495.64458235707406,58.864427607073026
independent_20260514_145931,trial_001,subject_001,1778741971.6125157,1778741971.6125157,40868.8619917,78465,BBS05,0,0,1,-72.51208019554744,785.9173176151814,51.5693194106414,-113.87967833321851,573.8109459028556,52.891807471504656,-55.910051718614184,504.19834145677675,59.38101614722219,126.96101691853151,779.5455568731775,43.50671293549698,160.22478226369893,560.1178976955006,51.6942386448673,105.37096535124512,495.69582072682744,58.90049176176337
independent_20260514_145931,trial_001,subject_001,1778741971.6216257,1778741971.6216257,40868.8720131,78466,BBS05,0,0,1,-72.5139314714133,785.9092380764945,51.56245800133619,-113.88016581790308,573.8187873556652,52.89766059631899,-55.884354319600355,504.161241864246,59.34796432682187,126.95780455769415,779.5506858513029,43.481047182827524,160.22118579832232,560.1323594557817,51.70481581054091,105.35595348305185,495.6990291340824,58.929854015676035
independent_20260514_145931,trial_001,subject_001,1778741971.6317372,1778741971.6317372,40868.8817324,78467,BBS05,0,0,1,-72.51534517489743,785.9147901725347,51.544476133640536,-113.87152334518174,573.8086992526489,52.89143867036179,-55.84879063246579,504.17754350177785,59.41021612155134,126.96248564528608,779.5608635442292,43.449362382487244,160.21783959951082,560.1280662469799,51.7038078731904,105.36611139157439,495.65678453461885,58.97713790039
independent_20260514_145931,trial_001,subject_001,1778741971.6421928,1778741971.6421928,40868.8918542,78468,BBS05,0,0,1,-72.5094074265359,785.9223012718018,51.52328627937555,-113.8782551889506,573.8216899937845,52.909881559965314,-55.884315770822646,504.20186347726565,59.41153287859155,126.96604361253269,779.565009123749,43.43461345862404,160.2079081031559,560.1467191323296,51.6842134476049,105.3601788310794,495.63189666418475,59.04863888734803
independent_20260514_145931,trial_001,subject_001,1778741971.6521926,1778741971.6521926,40868.9019165,78469,BBS05,0,0,1,-72.51294277695844,785.926651756905,51.51840261403128,-113.87656755878845,573.8193354556049,52.90376339904208,-55.910058767864626,504.20173807019324,59.39596951994317,126.97284697871098,779.5656715353542,43.408391624747544,160.20895843256616,560.1551774670398,51.69503679461173,105.32903450989035,495.6782790961162,59.04008084551579
