Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_LASI_X,Vicon_LASI_Y,Vicon_LASI_Z,Vicon_RASI_X,Vicon_RASI_Y,Vicon_RASI_Z,Vicon_LPSI_X,Vicon_LPSI_Y,Vicon_LPSI_Z,Vicon_RPSI_X,Vicon_RPSI_Y,Vicon_RPSI_Z,Vicon_LTHI_X,Vicon_LTHI_Y,Vicon_LTHI_Z,Vicon_LKNE_X,Vicon_LKNE_Y,Vicon_LKNE_Z,Vicon_LTIB_X,Vicon_LTIB_Y,Vicon_LTIB_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_RTHI_X,Vicon_RTHI_Y,Vicon_RTHI_Z,Vicon_RKNE_X,Vicon_RKNE_Y,Vicon_RKNE_Z,Vicon_RTIB_X,Vicon_RTIB_Y,Vicon_RTIB_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z
independent_20260430_213250,trial_001,subject_001,1777555970.2741907,1777555970.2741907,278761.8837042,2462605,001,0,0,1,73.89476388663047,616.4545024991329,828.2054542898074,162.15955271583255,608.6132288028921,824.0605309013772,73.90204559067703,390.8293209653328,870.0738395625604,134.51476216993464,385.0683338622639,867.439557120057,-70.31222128239115,601.8956251866442,701.7455419955128,-60.63641229967605,694.9403292786412,426.8901136139609,-72.72896078404656,724.710214759224,285.1463283974608,-15.618495220934058,810.558962291359,92.5886022822881,44.69537057518485,778.3736587762753,33.89577934595093,8.41369867282662,1012.1848405209262,170.1527775842823,272.2683274667682,492.89801880816395,671.7172231888604,227.95497424881987,403.76656276000233,392.72828556118634,242.20609475013785,312.15944828728374,282.093992341996,165.42476517041177,221.9314840337961,78.53362147638084,107.73165421913492,155.6739416371363,55.42884509898863,162.3987538407421,414.03847643840146,49.121431622083485
independent_20260430_213250,trial_001,subject_001,1777555970.2841895,1777555970.2841895,278761.8938082,2462606,001,0,0,1,73.73488155823652,617.1240485079278,826.2548029266809,161.9078258288571,608.8025046910823,821.8447630076918,72.53779462084813,391.60383135925974,868.5426241964487,133.1869341602086,385.6149336966418,865.9526177533667,-70.54506626350907,603.4313511408159,700.2369095062695,-60.140719537164564,696.1626076839542,425.16214632079516,-71.49755400267419,725.2120239654529,283.2256465672267,-14.032825658936812,811.1272921392183,90.63248140881096,47.68403765438399,779.7882922413369,32.12014198685586,8.276307012071106,1012.7176283938745,168.96760522571034,271.3911539480231,491.30016669009234,670.0500315570523,227.2349447523287,399.35339345249383,391.92559362752235,241.6396097136366,305.6537234330778,283.1308315407161,164.99566695137378,210.89291247426087,80.5971299007035,107.53844361428935,144.14419952216724,58.484066987656725,162.1458372063312,402.2664891151706,48.64605589177008
independent_20260430_213250,trial_001,subject_001,1777555970.2951922,1777555970.2951922,278761.9041625,2462607,001,0,0,1,73.552701496454,618.076531737448,824.4377117833435,161.69221384691872,609.263005453358,819.7988701524873,71.02845635359627,392.771811807671,867.3957347762863,131.64330633898953,386.45746505029575,864.7981201012929,-70.91558625550154,605.4022948485223,698.9163555833185,-59.318353941545105,697.7616540900243,423.4261921668503,-70.26349610464521,725.1852057976155,281.2737510430754,-12.184614569571357,808.8449175821252,87.42471325043357,50.15088412712078,777.7550181219362,29.93386423982805,8.048516833881827,1010.9365316136821,165.2196523026438,270.4393856101112,489.9814942279815,668.501465912156,226.77186126352245,395.13809006305877,391.31100170586546,241.13627588291465,299.5337888589551,284.27561956820296,165.0462341968305,200.5430287501272,83.6406185389293,107.50562640794178,132.8688471483401,62.08397942471754,161.74426835278615,390.5084705372652,48.10859914785623
independent_20260430_213250,trial_001,subject_001,1777555970.3051932,1777555970.3051932,278761.9141846,2462608,001,0,0,1,73.4196534034889,619.4083425201196,822.8113469158787,161.38488024575443,609.9971177747657,817.8859368816117,69.43746388796343,394.32925069691055,866.4424827573389,129.87295289976456,387.52531752274376,863.7767085187169,-71.44621304142403,607.7044759734476,697.7242630825439,-58.38177946618312,699.8425264280215,421.8374714963825,-69.05607106944996,724.4422349419739,279.2404146624446,-11.000697505886757,803.6583180162768,84.37952775361683,51.87494224133601,771.3826955742776,29.597764883566,8.35088886219069,1007.4653202875731,158.48026389042244,269.48355753234483,488.9354474858629,667.0303809458972,226.40383932167663,391.3437973945579,390.77372277359353,240.61886570985675,293.73672132788573,285.6659865757713,164.58571494397668,190.0114025374753,87.15236212279113,107.13481708107949,121.65208490109382,65.87632614202664,161.53177703184954,378.8039170448645,47.69402920281076
independent_20260430_213250,trial_001,subject_001,1777555970.3147018,1777555970.3147018,278761.9241401,2462609,001,0,0,1,73.238018388116,621.0116610863066,821.2018068410197,161.0580699913385,611.0874856673123,816.115951937802,67.64993941363623,396.18360519584456,865.6760237632672,128.0593134147815,389.00584641113267,863.0159879111305,-72.01074774758939,610.3840672629481,696.6864598869668,-57.24278571275411,702.2149759388467,420.28410185108476,-67.90706613810221,723.0571685906874,277.2127191849995,-10.109038149492132,796.0295771580547,81.15246096985423,52.61482707120126,761.5419528867368,29.20680463955341,10.017842939606808,1002.4101583522691,148.90521705724453,268.4597726578971,488.09412114268736,665.6332482307739,225.91464090828032,388.15702714394735,390.1039702761646,240.24771511566777,288.3350650033663,287.12290039692084,164.9373853511551,179.8445246152231,90.69944874114883,107.34214329262848,110.25583892873188,69.28524085985657,161.18172753044803,366.9341284177361,47.290236272117816
independent_20260430_213250,trial_001,subject_001,1777555970.3247037,1777555970.3247037,278761.9337625,2462610,001,0,0,1,72.9505338642702,623.0198147346495,819.8080501082098,160.67696525043164,612.6147630380625,814.4515395717489,65.79650128609947,398.4121195932096,864.9610665390849,126.12683790254776,390.81964652660776,862.2200325685402,-72.65683111544395,613.7659626676111,695.7598372997958,-55.967893725845826,704.6188751723923,418.7153401814649,-67.0069459790275,720.8222930858996,275.1146701062225,-9.493386207911046,786.4289431443065,78.15143198124329,53.662186164825286,751.4372519975285,28.897545533800283,12.837212112500463,995.8211302055,137.55242907761476,267.4256740650503,487.6229218921592,664.2528836425068,225.21201849718906,385.76650138986685,389.3042170659781,239.83826016019322,283.4441309562016,288.7644542863887,165.5275170153358,169.9672817935901,94.93280898001896,107.1338843820251,99.10245318522392,72.94279682309879,160.9025905845298,354.91633979536664,47.15042125285073
independent_20260430_213250,trial_001,subject_001,1777555970.334709,1777555970.334709,278761.9437208,2462611,001,0,0,1,72.84705515292166,625.7463454667944,818.4047584093195,160.20042674876086,614.4841269404409,812.8999873773524,63.724415046359,401.1707938392511,864.2720266812078,123.8437538818164,393.2119899575129,861.6366020001205,-73.08779431858812,617.3302591880392,694.8758797538002,-54.46821851091027,706.428525873859,416.8670683721609,-65.80024910903124,717.8113646582449,273.00157657009447,-8.876241556035943,776.8556259918405,74.50182478934522,53.57636971902165,741.1580680378748,29.665676450294672,14.370293327373087,989.5457537708031,126.11863923099351,266.34229430376905,487.7687377261991,662.8590122707615,224.26575582711695,384.03234289088334,388.4335684612363,239.48337734280105,279.0636946023957,290.6804431317214,166.10366347684447,160.34336043122744,99.49590694024815,107.14051813130182,88.24513239585478,77.71861093437168,160.53424487253147,343.03285931456264,46.86302473311854
independent_20260430_213250,trial_001,subject_001,1777555970.3444445,1777555970.3444445,278761.9535209,2462612,001,0,0,1,72.31571475555319,628.5167096423263,817.2539214281818,159.5600026494358,616.6580892492965,811.4345731602081,61.6064685465426,404.01504220225337,863.8969271555285,121.41771773905121,395.90557618277916,860.9329545757804,-73.36507081912737,621.5216624102998,694.0786386224349,-53.002095356816774,707.7713857121838,414.74222581360436,-64.35493046804967,714.5104202854296,271.09663905476793,-8.453182452643258,768.6248064568,73.2075345963328,53.226455113708035,730.9537787302173,30.574336604729737,15.640002135402078,983.295764817774,114.6989517289944,264.9515380385094,488.4511406266954,661.5241228396306,223.359094704453,382.9770035793094,387.5244815651623,239.19448895524062,275.2540987944904,292.6263630778212,166.860706040263,151.34074301884857,104.23192580985595,107.26280151989855,77.3529768986151,82.22630081030039,160.2766586563845,331.2145317543411,46.66936356725588
independent_20260430_213250,trial_001,subject_001,1777555970.35402,1777555970.35402,278761.9637872,2462613,001,0,0,1,71.61604186148197,631.5489995024647,816.3495149155497,158.767416681926,619.0929299645416,810.1617239028999,59.24025190014287,407.19884728563306,863.6043400954487,119.36100041406232,398.67095178285257,860.4955641989551,-73.42162480721461,625.5279144325292,693.6319455671971,-52.20736850629586,708.1509945680873,412.98531189318163,-62.61315834142388,711.7119650700312,269.6776041810502,-7.9742493022226215,761.3951531954998,73.86475168897711,53.25200934713135,720.934958443356,32.01522393220871,17.241068730380555,977.876867375714,104.80003985456389,263.5603094243859,489.82750347196026,660.2102326290942,222.65508542308677,382.59428290908505,386.8024175755142,238.87921843948314,272.34395020529723,295.06545501357914,167.58681012411128,142.74380985483026,109.2673183395468,106.99816178314944,67.19004987055118,87.82296389411049,160.0505372644513,319.53339160411986,46.35756325504855
independent_20260430_213250,trial_001,subject_001,1777555970.3720472,1777555970.3720472,278761.9809833,2462614,001,0,0,1,70.74019514750911,634.6848390208727,815.6555639328237,157.70797161322818,621.6354268323535,809.1545250582814,57.16176426542995,410.1995738903532,863.6602441988537,117.41488294036135,401.42566612512303,859.940481321723,-73.02297363617846,629.0332405501368,693.7667267546171,-52.38667816371253,708.093198302277,412.71407966111025,-61.29819063158543,709.985817478181,269.2716268922584,-6.740684610744944,754.6124952496466,73.61738139600452,52.81611596439098,710.6786079347313,33.74444903523005,18.958028003946275,971.8384522642921,95.1496928029595,262.04589206481563,491.8371510828559,658.8788719249168,222.2542264023883,383.1726965577402,386.2206310151798,238.59014318184916,270.3987507480688,297.61488152308004,168.54913852674613,135.13212909966788,114.81184468314358,108.00898542790999,58.42164262051194,96.04958418548112,159.96008755807767,308.3008881652976,46.1669814358545
