session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_071132,trial_001,1777504292.3912833,227083.3663023,Trunk,5,-3.4501,-6.6322,-6.1729,0.4883,-0.1831,-0.7935,-133.1598,20.9015,119.6631,-0.3912,0.8164,0.2543,0.3403
independent_20260430_071132,trial_001,1777504292.3912833,227083.3663928,L_Femur,4,-3.1678,-7.6945,5.3115,-0.1221,-0.061,-0.2441,-54.8218,18.2867,-76.0583,-0.4449,-0.1689,-0.5976,0.6453
independent_20260430_071132,trial_001,1777504292.3912833,227083.3665178,L_Tibia,6,0.1388,-3.9669,9.1062,-0.2441,-0.2441,0.4272,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3912833,227083.3666086,L_Foot,6,3.0577,-7.8812,-4.6512,-0.5493,-0.3052,0.2441,-121.7505,-18.7811,36.6833,-0.8431,0.1958,0.2864,0.4109
independent_20260430_071132,trial_001,1777504292.3912833,227083.3667517,R_Femur,6,-9.7282,-0.6651,-0.2632,0.6714,-0.5493,-0.4883,-111.3739,85.7648,-98.042,-0.6865,-0.2054,-0.6804,-0.1535
independent_20260430_071132,trial_001,1777504292.3912833,227083.3668475,Trunk,6,-3.4501,-6.6274,-6.1729,0.4883,-0.1221,-0.7935,-133.1598,20.9015,119.6576,-0.3912,0.8164,0.2543,0.3403
independent_20260430_071132,trial_001,1777504292.3912833,227083.3670068,L_Femur,5,-3.1678,-7.6993,5.3115,-0.1831,-0.061,-0.2441,-54.8218,18.2867,-76.0529,-0.4449,-0.1689,-0.5975,0.6453
independent_20260430_071132,trial_001,1777504292.3912833,227083.3671401,L_Tibia,7,0.134,-3.9669,9.1014,-0.2441,-0.2441,0.4272,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3922825,227083.3672723,L_Foot,7,3.0529,-7.8859,-4.6464,-0.5493,-0.1831,0.3052,-121.745,-18.7811,36.6943,-0.843,0.1959,0.2864,0.411
independent_20260430_071132,trial_001,1777504292.3922825,227083.3674219,R_Femur,7,-9.7282,-0.6651,-0.268,0.6714,-0.5493,-0.4883,-111.3739,85.7648,-98.042,-0.6865,-0.2054,-0.6804,-0.1535
