Session_ID,Trial_ID,Subject_ID,Timestamp,Vicon_Recv_Timestamp,Vicon_Recv_Timestamp_Mono,Vicon_Frame_Num,Vicon_Subject_Name,Vicon_Gap_Flag,Vicon_Gap_Size,Vicon_Original_Valid_Flag,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z
independent_20260514_173024,trial_001,subject_001,1778751024.8753874,1778751024.8753874,49922.1258554,359321,BBS05,0,0,1,-139.06638291609548,839.0069665322607,52.798614586951466,-101.67505483060835,627.1340864238531,51.92073133496477,-23.325422885358037,581.7883486864519,59.10688750282339,167.15125770332466,817.6968747508245,44.19973937451071,153.7732793761707,595.865878747824,55.285254326246346,85.41099671118752,545.1408466581829,62.608803542385616
independent_20260514_173024,trial_001,subject_001,1778751024.8866875,1778751024.8866875,49922.1364993,359322,BBS05,0,0,1,-139.06615024177012,839.0074569872388,52.78762604465411,-101.68341946502383,627.1319807197576,51.93255577991199,-23.34117497666006,581.7837617894072,59.100483507034625,167.17204947932498,817.7393394876112,44.25573760083356,153.72279281958612,595.8599670682476,55.22550953595013,85.38493872846026,545.1664136536194,62.611331206036425
independent_20260514_173024,trial_001,subject_001,1778751024.8968742,1778751024.8968742,49922.1466606,359323,BBS05,0,0,1,-139.07989055162452,838.9903930013198,52.75842811085786,-101.68240929823462,627.1470615214731,51.9368339216383,-23.39713122880906,581.7882224421564,59.080080318047116,167.11588105557055,817.6754310736959,44.14211984719136,153.70993939146993,595.8777114723358,55.22185056098496,85.3899287572176,545.1613654884467,62.617422005762606
independent_20260514_173024,trial_001,subject_001,1778751024.906053,1778751024.906053,49922.1564075,359324,BBS05,0,0,1,-139.09652861801698,838.9885584504758,52.72695531891504,-101.69209725692716,627.1511850012009,51.94190080481221,-23.295171593642852,581.7863776901844,59.14649816409453,167.15275768338466,817.6901267034324,44.18331649250927,153.59970845400036,595.9109850422154,55.131378850165035,85.39055581087132,545.1713463448566,62.61185756145657
independent_20260514_173024,trial_001,subject_001,1778751024.9165356,1778751024.9165356,49922.1667627,359325,BBS05,0,0,1,-139.0976355862055,839.0514112205259,52.762564821548374,-101.70347044833626,627.1533329560942,51.950879793918745,-23.310717108700896,581.8070488565915,59.17677867498174,167.1553756107072,817.7081457908579,44.206015812552316,153.6683796464628,595.8762349679395,55.18761861445552,85.38499404116696,545.1576988554741,62.63218401622691
independent_20260514_173024,trial_001,subject_001,1778751024.9266403,1778751024.9266403,49922.1766745,359326,BBS05,0,0,1,-139.12936564200618,839.0670204307763,52.72114514382195,-101.7041329160787,627.1655103154262,51.9507177764871,-23.369872777493775,581.848509493708,59.17948724306047,167.1637926873123,817.7091878415334,44.20536737394817,153.72635943306753,595.8447830833295,55.22383309232094,85.38315622371,545.1740546366331,62.61105331620945
independent_20260514_173024,trial_001,subject_001,1778751024.936639,1778751024.936639,49922.1866759,359327,BBS05,0,0,1,-139.1348954802493,839.0260731009947,52.64064206810919,-101.69950643378867,627.1712925741493,51.95437045509532,-23.38392704455137,581.8565218180125,59.183531783069,167.158220589601,817.6943183750866,44.17340738477777,153.61352739043784,595.8954939003605,55.12516821349251,85.38030218905611,545.1786184017274,62.62844155665355
independent_20260514_173024,trial_001,subject_001,1778751024.9437659,1778751024.9437659,49922.1965666,359328,BBS05,0,0,1,-139.07937333659316,839.0389279328467,52.61852597548706,-101.70626222425474,627.1765024542483,51.953680371058155,-23.349700973053565,581.8537963852285,59.21053263675204,167.16663213414395,817.6972202615285,44.16100804123888,153.63198029749893,595.8732429808618,55.140568083431894,85.37271541705155,545.1784664654191,62.62798553783469
independent_20260514_173024,trial_001,subject_001,1778751024.9563847,1778751024.9563847,49922.2064044,359329,BBS05,0,0,1,-139.0955536522302,839.1285384424749,52.701118043020244,-101.71335484849384,627.1866328647711,51.95793265150907,-23.407701594960226,581.8943604852341,59.21849752486333,167.17776735822628,817.7080213945031,44.18372911394173,153.66811677448365,595.8736656508829,55.19365478593024,85.35013629611262,545.1822713014626,62.64094904521987
independent_20260514_173024,trial_001,subject_001,1778751024.9666975,1778751024.9666975,49922.216315,359330,BBS05,0,0,1,-139.10319510992045,839.111988479148,52.64366074400038,-101.71826896330367,627.193696306134,51.96954215695037,-23.47201574771394,581.9108801045237,59.216662833804506,167.18052397401084,817.7058225166952,44.15639620279587,153.58867421755377,595.949848602416,55.163497649532395,85.34675617571067,545.2027650938832,62.60062827778873
