Recv_Timestamp,Side,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17
1777289443.925175,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289443.958101,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289443.958101,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.1443915,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.1443915,Right,0,0,16398,0,0,0,0,0,40467,50688,0,0,0,0,0,0,0,0
1777289444.1965468,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.1965468,Right,0,0,16398,0,0,0,0,0,40467,50688,0,0,0,0,0,0,0,0
1777289444.2651873,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.2651873,Right,0,0,49685,23310,0,0,0,0,6936,42764,0,0,0,0,0,0,0,0
1777289444.4337015,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.4337015,Right,0,0,787,21265,0,0,0,0,62743,21519,0,0,0,0,41988,0,0,0
1777289444.5357769,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.5357769,Right,0,0,787,21265,0,0,0,0,62743,21519,0,0,0,0,41988,0,0,0
1777289444.625987,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.625987,Right,0,0,11029,42003,0,0,0,0,64537,529,22784,0,0,0,50693,0,0,0
1777289444.7451448,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.7451448,Right,0,0,11029,42003,0,0,0,0,64537,529,22784,0,0,0,50693,0,0,0
1777289444.8563595,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289444.8563595,Right,0,0,48915,25362,1536,0,0,0,63000,53263,30208,0,0,0,56581,0,0,0
1777289445.0127628,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.0127628,Right,0,0,2067,64528,0,0,0,0,34072,31246,0,0,0,0,41989,0,0,0
1777289445.022805,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.022805,Right,0,0,2067,64528,0,0,0,0,34072,31246,0,0,0,0,41989,0,0,0
1777289445.0869038,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.0869038,Right,0,0,43537,13327,0,0,0,0,9751,30732,0,0,0,0,12037,0,0,0
1777289445.1173604,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.1173604,Right,0,0,43537,13327,0,0,0,0,9751,30732,0,0,0,0,12037,0,0,0
1777289445.2266877,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.2266877,Right,0,0,57615,26380,0,0,0,0,21269,56329,0,0,0,0,20997,6912,23809,0
1777289445.2867434,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.2867434,Right,0,0,57615,26380,0,0,0,0,21269,56329,0,0,0,0,20997,6912,23809,0
1777289445.3559995,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777289445.3559995,Right,0,0,61709,9737,10752,0,0,0,54290,63494,0,0,0,0,40197,40449,41731,0
1777289445.505632,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
