Recv_Timestamp,Device_Name,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,Quat_x,Quat_y,Quat_z,Quat_w
1777290490.8738034,L_Femur,-3.273,17.0447,2.5361,-50.354,46.5698,-6.2256,125.3925,-0.2417,4.8615,0.8877,-0.0387,0.0176,0.4584
1777290490.8738034,L_Tibia,-1.4403,17.3318,4.656,224.4873,67.4438,54.6875,139.1858,-1.7029,-17.7484,0.9267,0.1394,-0.0675,0.3423
1777290490.8738034,L_Foot,-0.914,0.4067,10.8097,17.0288,26.3672,7.6904,12.4475,5.9656,-94.7681,0.0352,0.1147,-0.7268,0.6763
1777290490.8738034,R_Femur,-0.5694,6.5126,-5.8618,108.3374,-104.6143,6.7139,65.4895,-7.3004,-6.3611,0.5419,-0.0235,-0.081,0.8362
1777290490.8738034,R_Tibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1777290490.8738034,R_Foot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1777290490.8738034,Trunk,1.0192,14.0301,-6.0389,-9.3384,30.8228,2.1973,89.6924,0.6592,-16.0785,0.6977,0.1027,-0.0951,0.7026
1777290490.8738034,L_Femur,-3.273,17.0447,2.5361,-50.354,46.5698,-6.2256,125.3925,-0.2417,4.8615,0.8877,-0.0387,0.0176,0.4584
1777290490.8738034,L_Tibia,-1.4403,17.3318,4.656,224.4873,67.4438,54.6875,139.1858,-1.7029,-17.7484,0.9267,0.1394,-0.0675,0.3423
1777290490.8738034,L_Foot,-1.3686,-6.4169,15.1737,121.6431,113.7085,28.5034,13.9362,7.1686,-94.1144,0.0371,0.1309,-0.72,0.6805
1777290490.8738034,R_Femur,-0.5694,6.5126,-5.8618,108.3374,-104.6143,6.7139,65.4895,-7.3004,-6.3611,0.5419,-0.0235,-0.081,0.8362
1777290490.8738034,R_Tibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1777290490.8738034,R_Foot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
