Recv_Timestamp,Side,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17
1777287087.4164543,Left,40458,11521,56064,0,0,0,4362,0,37892,0,0,0,53780,0,0,0,0,0
1777287087.4164543,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.4957535,Left,40458,11521,56064,0,0,0,4362,0,37892,0,0,0,53780,0,0,0,0,0
1777287087.4957535,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.64546,Left,64009,21251,15360,0,0,0,10248,5377,18691,0,0,0,60944,0,0,0,0,0
1777287087.64546,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.6948497,Left,64009,21251,15360,0,0,0,10248,5377,18691,0,0,0,60944,0,0,0,0,0
1777287087.6948497,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.7675874,Left,64259,24066,0,0,0,0,0,0,54017,0,0,0,36098,0,0,0,0,0
1777287087.7675874,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.795866,Left,64259,24066,0,0,0,0,0,0,54017,0,0,0,36098,0,0,0,0,0
1777287087.795866,Right,0,0,3856,62977,0,0,0,0,47890,4354,0,0,0,0,0,0,0,0
1777287087.9056032,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.9056032,Right,0,0,3856,62977,0,0,0,0,47890,4354,0,0,0,0,0,0,0,0
1777287087.9626024,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287087.9626024,Right,0,0,35343,2060,0,0,0,0,22290,2059,0,0,0,0,0,0,0,0
1777287088.0554142,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.0554142,Right,0,0,35343,2060,0,0,0,0,22290,2059,0,0,0,0,0,0,0,0
1777287088.174704,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.174704,Right,0,0,31759,62734,0,0,0,0,3349,3342,0,0,0,0,20740,0,0,0
1777287088.235559,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.235559,Right,0,0,31759,62734,0,0,0,0,3349,3342,0,0,0,0,20740,0,0,0
1777287088.2726398,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.2726398,Right,0,0,35856,16656,0,0,0,0,30228,4622,0,0,0,0,41988,0,0,0
1777287088.3955374,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.3955374,Right,0,0,35856,16656,0,0,0,0,30228,4622,0,0,0,0,41988,0,0,0
1777287088.5223594,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.5223594,Right,0,0,65039,26895,0,0,0,0,23060,42509,0,0,0,0,43012,0,0,0
1777287088.7168944,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.7168944,Right,0,0,16400,17679,13312,0,0,0,61204,46348,6400,0,0,0,60420,0,0,0
1777287088.7362342,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.7362342,Right,0,0,16400,17679,13312,0,0,0,61204,46348,6400,0,0,0,60420,0,0,0
1777287088.9352715,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.9352715,Right,0,0,62222,53516,41728,0,0,0,46611,24842,768,0,0,0,13572,0,0,0
1777287088.976072,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287088.976072,Right,0,0,62222,53516,41728,0,0,0,46611,24842,768,0,0,0,13572,0,0,0
1777287089.0857067,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287089.0857067,Right,0,0,44813,13066,20224,0,0,0,33042,35591,0,0,0,0,11524,0,58112,0
1777287089.195953,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777287089.195953,Right,0,0,42252,16135,0,0,0,0,18705,12805,0,0,0,0,46851,11264,15618,0
