session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_155945,trial_001,1777535985.0203679,258776.630019,L_Femur,1,0.9188,10.0823,-3.4501,-13.3057,56.0303,-8.667,120.097,-4.7351,-9.6021,0.8644,0.0519,-0.0774,0.4941
independent_20260430_155945,trial_001,1777535985.0203679,258776.630169,L_Tibia,1,-0.1914,9.1062,-3.3688,67.4438,52.7344,-5.188,123.1238,8.9594,-21.5662,0.8542,0.2006,-0.0214,0.4792
independent_20260430_155945,trial_001,1777535985.0223668,258776.6317884,L_Foot,1,-1.0623,1.0719,10.0345,48.5229,2.1973,7.6904,7.5476,5.1471,-117.1582,-0.004,0.0795,-0.8491,0.5222
independent_20260430_155945,trial_001,1777535985.0223668,258776.6319737,R_Femur,1,1.4355,10.623,1.0575,52.063,16.1743,19.4702,81.3153,0.5438,-22.2968,0.6385,0.1295,-0.1436,0.7449
independent_20260430_155945,trial_001,1777535985.0223668,258776.6321524,Trunk,1,0.0813,10.5178,-1.8614,14.4043,19.3481,5.4932,95.8997,1.994,8.4814,0.7413,-0.0433,0.0624,0.6669
independent_20260430_155945,trial_001,1777535985.0233774,258776.6324625,L_Femur,2,0.9188,10.0536,-3.4501,-24.353,53.9551,-11.9629,119.696,-4.9988,-8.8,0.863,0.0444,-0.0761,0.4974
independent_20260430_155945,trial_001,1777535985.0233774,258776.6325993,L_Tibia,2,-0.5407,9.1014,-3.6511,72.7539,49.7437,-7.8125,124.3103,8.6353,-20.8575,0.8608,0.1942,-0.0188,0.4701
independent_20260430_155945,trial_001,1777535985.0233774,258776.632692,L_Foot,2,-1.1389,0.8661,10.0488,58.5938,2.6245,8.0566,8.41,5.1746,-117.0374,-0.0001,0.086,-0.8479,0.5231
independent_20260430_155945,trial_001,1777535985.0233774,258776.6328071,R_Femur,2,0.823,9.8957,0.0239,50.8423,26.5503,16.1133,82.0789,0.3406,-21.8903,0.6442,0.1269,-0.1413,0.7409
independent_20260430_155945,trial_001,1777535985.0233774,258776.6329004,R_Tibia,1,1.9284,9.6373,-2.7515,32.1655,9.0942,11.3525,103.2935,-3.2355,-153.2648,0.1983,0.7586,-0.6086,0.1219
independent_20260430_155945,trial_001,1777535985.0233774,258776.6329957,R_Foot,1,0.512,1.5265,9.9675,6.958,-3.6621,1.8311,8.2233,-5.0262,174.9792,-0.0406,-0.0735,0.9954,0.0468
independent_20260430_155945,trial_001,1777535985.0233774,258776.6331173,Trunk,2,0.7752,10.0297,-1.7466,10.8643,21.7285,5.4932,96.1304,1.8292,8.866,0.7424,-0.0469,0.0635,0.6653
independent_20260430_155945,trial_001,1777535985.0243733,258776.6335113,L_Femur,3,0.9475,9.9388,-3.2156,-33.6304,50.4761,-15.0757,119.1467,-5.191,-8.0255,0.8609,0.0374,-0.0744,0.5019
independent_20260430_155945,trial_001,1777535985.0243733,258776.6336871,L_Tibia,3,-0.5216,9.1109,-3.7133,76.8433,48.8281,-10.1929,125.5627,8.3386,-20.1544,0.8674,0.1879,-0.0162,0.4605
independent_20260430_155945,trial_001,1777535985.0243733,258776.6338282,L_Foot,3,-1.0336,1.0097,10.1206,75.7446,3.7231,12.8174,9.8602,5.213,-116.8121,0.0064,0.0969,-0.8457,0.5247
independent_20260430_155945,trial_001,1777535985.0243733,258776.6339795,R_Femur,3,-0.201,9.2688,-0.3589,47.9736,25.5737,14.3433,82.804,0.1703,-21.4673,0.6496,0.1243,-0.1387,0.7371
independent_20260430_155945,trial_001,1777535985.0243733,258776.6340772,Trunk,3,0.5694,9.6469,-1.6222,10.7422,22.7661,6.7139,96.2897,1.6864,9.1791,0.7432,-0.0498,0.0643,0.6642
independent_20260430_155945,trial_001,1777535985.0243733,258776.6342058,L_Femur,4,0.8374,9.7378,-2.7897,-44.8608,46.3257,-18.8599,118.2239,-5.3394,-7.0203,0.8571,0.0286,-0.0713,0.5094
independent_20260430_155945,trial_001,1777535985.0253768,258776.6343526,L_Tibia,4,-0.0335,9.0439,-3.986,85.4492,56.5796,-15.686,127.37,7.9376,-19.1052,0.8767,0.1787,-0.0122,0.4464
independent_20260430_155945,trial_001,1777535985.0253768,258776.634503,L_Foot,4,-0.8661,1.6987,9.8383,83.1909,8.9722,18.4937,11.1456,5.2734,-116.5375,0.0121,0.1066,-0.8433,0.5267
independent_20260430_155945,trial_001,1777535985.0253768,258776.6346665,R_Femur,4,-0.7082,9.2497,0.1053,50.2319,11.7188,15.1978,83.7762,-0.0879,-21.1047,0.6565,0.1217,-0.1368,0.7318
independent_20260430_155945,trial_001,1777535985.026883,258776.6362122,R_Foot,2,1.1054,1.7466,9.7856,5.188,-2.8687,1.0986,8.3936,-5.1526,175.0177,-0.0416,-0.075,0.9952,0.0466
independent_20260430_155945,trial_001,1777535985.026883,258776.636322,Trunk,4,-0.067,9.4698,-1.5121,10.437,22.9492,7.6294,96.4435,1.5271,9.4922,0.7438,-0.0528,0.065,0.6631
independent_20260430_155945,trial_001,1777535985.026883,258776.6364114,L_Femur,5,0.7704,9.666,-2.5218,-53.2837,43.9453,-18.7378,117.3834,-5.4053,-6.2952,0.8535,0.0224,-0.0687,0.5161
independent_20260430_155945,trial_001,1777535985.026883,258776.6365246,L_Tibia,5,0.6125,8.9243,-4.6129,85.2661,74.7681,-20.9961,128.7982,7.5201,-18.067,0.8843,0.1693,-0.0093,0.4351
independent_20260430_155945,trial_001,1777535985.026883,258776.6366152,L_Foot,5,-0.8278,0.6604,10.3264,105.3467,7.9956,22.8882,12.6892,5.3009,-116.2134,0.0193,0.118,-0.8402,0.5289
independent_20260430_155945,trial_001,1777535985.026883,258776.6367045,R_Femur,5,-0.4642,9.6373,0.1436,53.9551,-0.6714,18.0664,84.5728,-0.3571,-21.0498,0.6619,0.1206,-0.1372,0.727
