Timestamp,Vicon_Frame_Num,Vicon_Recv_Timestamp,IMU_Recv_Timestamp,Planter_Recv_Timestamp,Vicon_Gap_Flag,Vicon_Gap_Size,IMU_Stale_ms,Planter_Stale_ms,IMU_Matched_Flag,Planter_Matched_Flag,Vicon_Root_X,Vicon_Root_Y,Vicon_Root_Z,Vicon_L_Femur_X,Vicon_L_Femur_Y,Vicon_L_Femur_Z,Vicon_L_Tibia_X,Vicon_L_Tibia_Y,Vicon_L_Tibia_Z,Vicon_L_Foot_X,Vicon_L_Foot_Y,Vicon_L_Foot_Z,Vicon_L_Toe_X,Vicon_L_Toe_Y,Vicon_L_Toe_Z,Vicon_R_Femur_X,Vicon_R_Femur_Y,Vicon_R_Femur_Z,Vicon_R_Tibia_X,Vicon_R_Tibia_Y,Vicon_R_Tibia_Z,Vicon_R_Foot_X,Vicon_R_Foot_Y,Vicon_R_Foot_Z,Vicon_R_Toe_X,Vicon_R_Toe_Y,Vicon_R_Toe_Z,Vicon_LASI_X,Vicon_LASI_Y,Vicon_LASI_Z,Vicon_RASI_X,Vicon_RASI_Y,Vicon_RASI_Z,Vicon_LPSI_X,Vicon_LPSI_Y,Vicon_LPSI_Z,Vicon_RPSI_X,Vicon_RPSI_Y,Vicon_RPSI_Z,Vicon_LTHI_X,Vicon_LTHI_Y,Vicon_LTHI_Z,Vicon_LKNE_X,Vicon_LKNE_Y,Vicon_LKNE_Z,Vicon_LTIB_X,Vicon_LTIB_Y,Vicon_LTIB_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_RTHI_X,Vicon_RTHI_Y,Vicon_RTHI_Z,Vicon_RKNE_X,Vicon_RKNE_Y,Vicon_RKNE_Z,Vicon_RTIB_X,Vicon_RTIB_Y,Vicon_RTIB_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,IMU_Trunk_Acc_X,IMU_Trunk_Acc_Y,IMU_Trunk_Acc_Z,IMU_Trunk_Gyro_X,IMU_Trunk_Gyro_Y,IMU_Trunk_Gyro_Z,IMU_Trunk_Roll,IMU_Trunk_Pitch,IMU_Trunk_Yaw,IMU_Trunk_Quat_x,IMU_Trunk_Quat_y,IMU_Trunk_Quat_z,IMU_Trunk_Quat_w,IMU_L_Femur_Acc_X,IMU_L_Femur_Acc_Y,IMU_L_Femur_Acc_Z,IMU_L_Femur_Gyro_X,IMU_L_Femur_Gyro_Y,IMU_L_Femur_Gyro_Z,IMU_L_Femur_Roll,IMU_L_Femur_Pitch,IMU_L_Femur_Yaw,IMU_L_Femur_Quat_x,IMU_L_Femur_Quat_y,IMU_L_Femur_Quat_z,IMU_L_Femur_Quat_w,IMU_L_Tibia_Acc_X,IMU_L_Tibia_Acc_Y,IMU_L_Tibia_Acc_Z,IMU_L_Tibia_Gyro_X,IMU_L_Tibia_Gyro_Y,IMU_L_Tibia_Gyro_Z,IMU_L_Tibia_Roll,IMU_L_Tibia_Pitch,IMU_L_Tibia_Yaw,IMU_L_Tibia_Quat_x,IMU_L_Tibia_Quat_y,IMU_L_Tibia_Quat_z,IMU_L_Tibia_Quat_w,IMU_L_Foot_Acc_X,IMU_L_Foot_Acc_Y,IMU_L_Foot_Acc_Z,IMU_L_Foot_Gyro_X,IMU_L_Foot_Gyro_Y,IMU_L_Foot_Gyro_Z,IMU_L_Foot_Roll,IMU_L_Foot_Pitch,IMU_L_Foot_Yaw,IMU_L_Foot_Quat_x,IMU_L_Foot_Quat_y,IMU_L_Foot_Quat_z,IMU_L_Foot_Quat_w,IMU_R_Femur_Acc_X,IMU_R_Femur_Acc_Y,IMU_R_Femur_Acc_Z,IMU_R_Femur_Gyro_X,IMU_R_Femur_Gyro_Y,IMU_R_Femur_Gyro_Z,IMU_R_Femur_Roll,IMU_R_Femur_Pitch,IMU_R_Femur_Yaw,IMU_R_Femur_Quat_x,IMU_R_Femur_Quat_y,IMU_R_Femur_Quat_z,IMU_R_Femur_Quat_w,IMU_R_Tibia_Acc_X,IMU_R_Tibia_Acc_Y,IMU_R_Tibia_Acc_Z,IMU_R_Tibia_Gyro_X,IMU_R_Tibia_Gyro_Y,IMU_R_Tibia_Gyro_Z,IMU_R_Tibia_Roll,IMU_R_Tibia_Pitch,IMU_R_Tibia_Yaw,IMU_R_Tibia_Quat_x,IMU_R_Tibia_Quat_y,IMU_R_Tibia_Quat_z,IMU_R_Tibia_Quat_w,IMU_R_Foot_Acc_X,IMU_R_Foot_Acc_Y,IMU_R_Foot_Acc_Z,IMU_R_Foot_Gyro_X,IMU_R_Foot_Gyro_Y,IMU_R_Foot_Gyro_Z,IMU_R_Foot_Roll,IMU_R_Foot_Pitch,IMU_R_Foot_Yaw,IMU_R_Foot_Quat_x,IMU_R_Foot_Quat_y,IMU_R_Foot_Quat_z,IMU_R_Foot_Quat_w,Planter_Left_0,Planter_Left_1,Planter_Left_2,Planter_Left_3,Planter_Left_4,Planter_Left_5,Planter_Left_6,Planter_Left_7,Planter_Left_8,Planter_Left_9,Planter_Left_10,Planter_Left_11,Planter_Left_12,Planter_Left_13,Planter_Left_14,Planter_Left_15,Planter_Left_16,Planter_Left_17,Planter_Right_0,Planter_Right_1,Planter_Right_2,Planter_Right_3,Planter_Right_4,Planter_Right_5,Planter_Right_6,Planter_Right_7,Planter_Right_8,Planter_Right_9,Planter_Right_10,Planter_Right_11,Planter_Right_12,Planter_Right_13,Planter_Right_14,Planter_Right_15,Planter_Right_16,Planter_Right_17
1777289315.2039506,345252,1777289305.6832201,1777289313.3932796,1777289306.6134102,0,0,-7710.059404373169,-930.1900863647461,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345253,1777289305.6905608,1777289313.3932796,1777289306.6134102,0,0,-7702.718734741211,-922.8494167327881,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345254,1777289305.6933644,1777289313.3932796,1777289306.6134102,0,0,-7699.915170669556,-920.0458526611328,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345255,1777289305.703397,1777289313.3932796,1777289306.6134102,0,0,-7689.882516860962,-910.0131988525391,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345256,1777289305.713422,1777289313.3932796,1777289306.6134102,0,0,-7679.857492446899,-899.9881744384766,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345257,1777289305.7229242,1777289313.3932796,1777289306.6134102,0,0,-7670.355319976807,-890.4860019683838,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345258,1777289305.7408779,1777289313.3932796,1777289306.6134102,0,0,-7652.401685714722,-872.5323677062988,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2042823,345259,1777289305.7428746,1777289313.3932796,1777289306.6134102,0,0,-7650.404930114746,-870.5356121063232,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2054162,345260,1777289305.7528722,1777289313.3932796,1777289306.6134102,0,0,-7640.40732383728,-860.5380058288574,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
1777289315.2054162,345261,1777289305.7633681,1777289313.3932796,1777289306.6134102,0,0,-7629.911422729492,-850.0421047210693,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105,8.7521,0.9044,13.3057,-1.0986,-12.7563,83.3972,-1.3129,-22.2693,0.6543,0.1201,-0.1517,0.7311,2.0385,9.3263,-0.6986,76.7212,55.481,-5.0049,94.5319,1.3129,-29.6906,0.708,0.1957,-0.1657,0.6581,-0.2058,9.3502,-2.9381,18.8599,18.7378,-11.7798,103.6395,-0.2692,-27.5922,0.7637,0.186,-0.1492,0.5999,-0.8805,0.7321,9.9005,3.418,3.2349,1.2207,3.8452,5.4657,-86.0339,-0.008,0.0577,-0.6799,0.731,0.067,9.8909,-1.8136,-123.0469,41.0156,29.6631,85.2594,-5.614,-23.4943,0.6696,0.1024,-0.1821,0.7127,1.4595,7.6754,-7.9386,-96.4966,-5.188,16.3574,140.3558,-8.1464,-25.9277,0.9199,0.187,-0.141,0.3146,2.7945,-3.7659,8.4984,-149.4751,17.2119,33.4473,48.0542,4.8779,-96.3831,0.2422,0.3291,-0.6686,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15118,45837,0,0,0,0,18199,64782,41728,0,0,0,60681,61954,13058,0
