Recv_Timestamp,Side,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17
1777530625.2477102,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.2477102,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.3348594,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.3348594,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.4551332,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.4551332,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.6731951,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.6731951,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.7239554,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530625.7239554,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.017637,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.017637,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.0668852,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.0668852,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.2215776,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.2215776,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.2815754,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.2815754,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.3773901,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.3773901,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.521492,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.521492,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.6242974,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.6242974,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.7805798,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.7805798,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.7975907,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530626.7975907,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.0156624,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.0156624,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.2319667,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.2319667,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.2983778,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.2983778,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.478136,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.478136,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.7148426,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.7148426,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.9692893,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530627.9692893,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.0740614,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.0740614,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.181285,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.181285,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.3451676,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.3451676,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.398127,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.398127,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.5469394,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.5469394,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.6151798,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.6151798,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.6986804,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.6986804,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.7476923,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.7476923,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.8108234,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.8108234,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.8803232,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.8803232,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.9155247,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.9155247,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.9815633,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530628.9815633,Right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777530629.0722086,Left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
